Player,Stat Type,EV_over,EV_under
Victor Wembanyama,Points,-0.9999733491076768,1.999973352915731
Victor Wembanyama,Pts + Rebs + Asts,-0.9999962645247251,1.9999962547160521
Victor Wembanyama,1Q Points,-0.9999989733827874,1.9999989502495907
Victor Wembanyama,Assists,-0.9999659924596926,1.9999660089060853
Jaylen Brown,Points,-0.999999701145569,1.9999996717588502
Jaylen Brown,Pts + Rebs + Asts,-0.9999790484062032,1.9999790635879435
Jaylen Brown,Assists,-0.9999925237493699,1.999992506782064
Jaylen Brown,1Q Pts + Rebs + Asts,-0.9999746079574834,1.9999746081894045
De'Aaron Fox,Points,-0.9997971704578958,1.999797197728185
De'Aaron Fox,Pts + Rebs + Asts,-0.9999819950780875,1.9999819674353603
De'Aaron Fox,Assists,-0.9999947934581996,1.999994803927052
De'Aaron Fox,1Q Points,-0.9999956755505082,1.9999956920080422
Kristaps Porzingis,Points,-0.9999458677448274,1.9999458435613633
Kristaps Porzingis,Pts + Rebs + Asts,-0.9997884623735445,1.9997884627446183
Kristaps Porzingis,Rebounds,-0.9998621556296712,1.9998621450431529
Kristaps Porzingis,Assists,-0.999996942802909,1.9999969514830127
Derrick White,Points,-0.9999835204189367,1.9999835347684893
Derrick White,Pts + Rebs + Asts,-0.9999812779806234,1.9999812512587596
Derrick White,1Q Points,-0.9999874985724091,1.9999874907985031
Derrick White,Assists,-0.9999804806593602,1.9999804949702593
Stephon Castle,Points,-0.9999969784071254,1.999996969285121
Stephon Castle,Pts + Rebs + Asts,-0.9999983764330409,1.999998383553816
Stephon Castle,Rebounds,-0.999926887692709,1.9999268763967848
Stephon Castle,Assists,-0.9999998222307909,1.9999998217084283
Jayson Tatum,Points,-0.9998832178753219,1.9998832261881034
Jayson Tatum,Pts + Rebs + Asts,-0.9998292030068114,1.999829217849765
Jayson Tatum,Assists,-0.999822944009793,1.999822959107405
Jayson Tatum,1Q Points,-0.9999711682576162,1.9999711896070949
Chris Paul,Points,-0.9999656385516573,1.9999656531381333
Chris Paul,Pts + Rebs + Asts,-0.9999779563268021,1.99997798110644
Chris Paul,Rebounds,-0.9999113202720764,1.9999113142803253
Chris Paul,1Q Points,-0.9998650240813731,1.9998650097804784
Devin Vassell,Points,-0.9999763486030133,1.9999763725818411
Devin Vassell,Pts + Rebs + Asts,-0.9999220912322926,1.9999220641784632
Devin Vassell,Rebounds,-0.9999291811764124,1.9999291854292096
Devin Vassell,Assists,-0.9999866095240577,1.9999865992394916
Harrison Barnes,Points,-0.999908479883743,1.999908463574684
Harrison Barnes,Pts + Rebs + Asts,-0.9999936173021524,1.9999935900002583
Harrison Barnes,Assists,-0.9999088559161464,1.99990883040482
Harrison Barnes,1Q Points,-0.9998625046646339,1.9998624983745685
Jeremy Sochan,Points,-0.9999862304257476,1.9999862308764023
Jeremy Sochan,Pts + Rebs + Asts,-0.9999589070503134,1.9999588899227092
Jeremy Sochan,Assists,-0.999956061341436,1.9999560365567959
Jeremy Sochan,Rebounds,-0.9998182893832563,1.9998183072129905
Al Horford,Points,-0.9999962467338719,1.9999962458206255
Al Horford,Pts + Rebs + Asts,-0.9999356303815148,1.9999356286825787
Al Horford,1Q Points,-0.9996758473425871,1.9996758288398269
Al Horford,Rebounds,-0.999941652698908,1.9999416796781588
Paolo Banchero,Points,-0.9999536533650826,1.999953670278046
Paolo Banchero,Pts + Rebs + Asts,-0.9999956766710056,1.999995692568291
Paolo Banchero,1Q Points,-0.9999955059638523,1.999995517807747
Paolo Banchero,1Q Pts + Rebs + Asts,-0.9999942723929962,1.9999942751735489
Miles Bridges,Points,-0.9999080624984344,1.9999080760680954
Miles Bridges,Pts + Rebs + Asts,-0.9999846508426344,1.9999846364221412
Miles Bridges,Assists,-0.9999980853307306,1.9999980591887265
Miles Bridges,Rebounds,-0.9999665247651137,1.9999665432796974
Josh Green,Points,-0.9999601467297907,1.999960135611218
Josh Green,Pts + Rebs + Asts,-0.9998852320495644,1.9998852167518635
Josh Green,Assists,-0.999999261574942,1.9999992731596024
Josh Green,1Q Points,-0.9999522066973441,1.9999522316884395
Cole Anthony,Points,-0.9999742731924925,1.9999742619929748
Cole Anthony,Pts + Rebs + Asts,-0.999944963856251,1.9999449445822393
Cole Anthony,Rebounds,-0.9998740600203746,1.9998740875053045
Cole Anthony,1Q Points,-0.9999465723485628,1.9999465534910996
Goga Bitadze,Points,-0.999955960742227,1.9999559862571914
Goga Bitadze,Pts + Rebs + Asts,-0.9999676134666515,1.9999676240722692
Goga Bitadze,Assists,-0.9999665064005967,1.9999665340974389
Goga Bitadze,Rebounds,-0.9999608799516864,1.9999608598500345
Nick Smith Jr.,Points,-0.9998226609022822,1.9998226387397153
Nick Smith Jr.,Pts + Rebs + Asts,-0.9999837401401237,1.99998373403605
Nick Smith Jr.,Assists,-0.999841578413907,1.999841574634047
Nick Smith Jr.,1Q Points,-0.9999821163346496,1.9999821174706085
Franz Wagner,Points,-0.9999866461384954,1.9999866175467105
Franz Wagner,Pts + Rebs + Asts,-0.9999951478321236,1.9999951599279484
Franz Wagner,1Q Pts + Rebs + Asts,-0.9999003755656304,1.9999003881021054
Franz Wagner,Assists,-0.9999370253026427,1.99993704139888
Wendell Carter Jr.,Points,-0.9999967625649333,1.9999967719570577
Wendell Carter Jr.,Pts + Rebs + Asts,-0.9999355925501732,1.9999356097669079
Wendell Carter Jr.,Rebounds,-0.999950679273752,1.999950663313939
Wendell Carter Jr.,Assists,-0.9999605320899718,1.9999605071052429
Kentavious Caldwell-Pope,Points,-0.9998208286706358,1.9998208285542205
Kentavious Caldwell-Pope,Pts + Rebs + Asts,-0.9999892995806476,1.999989285372294
Kentavious Caldwell-Pope,1Q Points,-0.9999997654594068,1.9999997933227363
Kentavious Caldwell-Pope,Rebounds,-0.9998923669554642,1.9998923604835
Anthony Black,Points,-0.9999093899532454,1.999909365644271
Anthony Black,Pts + Rebs + Asts,-0.9999991383522797,1.999999122141304
Anthony Black,Assists,-0.9999982265859444,1.9999982192233006
Anthony Black,Rebounds,-0.9999959109386509,1.9999958991090807
Moussa Diabate,Points,-0.9997972611017758,1.999797243050125
Moussa Diabate,Pts + Rebs + Asts,-0.9999635357471561,1.9999635288522768
Moussa Diabate,Assists,-0.9999914358868409,1.9999914264089966
Moussa Diabate,Rebounds,-0.9999978189471221,1.9999978365899551
Tyrese Haliburton,Points,-0.9999988010960692,1.9999987746992645
