Player,Points Mean,Points Std Dev,Points Distribution,Points MSE,Points Params,Rebounds Mean,Rebounds Std Dev,Rebounds Distribution,Rebounds MSE,Rebounds Params,Assists Mean,Assists Std Dev,Assists Distribution,Assists MSE,Assists Params,Total Mean,Total Std Dev,Total Distribution,Total MSE,Total Params
LaMelo Ball,26.759738776878244,9.969500987767066,logistic,0.10050139201474673,"[26.759738776878244, 5.496473967492082]",5.089822642770256,2.704606206334132,logistic,0.10196901345893516,"[5.089822642770256, 1.4911275522891205]",,,cauchy,0.1088760419362137,"[7.041516123947076, 1.6669367284821421]",40.0,13.277894002280727,laplace,0.07654657748492105,"[40.0, 9.38888888888889]"
Alex Sarr,,,cauchy,0.09965311093503465,"[11.239687349202036, 2.6932377862100467]",6.619272719490477,2.7307551600970323,genextreme,0.11164697708531257,"[0.17837188160520248, 5.533458477846937, 2.555222626819858]",2.2016771626939216,1.5389574088632154,weibull_min,0.15311578344008545,"[1.6152040561021574, -0.22418877781908159, 2.708011613358315]",20.488393739276304,6.6333976702494954,f,0.0892344246159874,"[256.89029075145936, 16302.698499075595, -54.100265039631864, 74.57950831111499]"
Josh Green,7.542259798605244,5.174718230089078,weibull_min,0.08662336610800142,"[1.6421711874098803, -0.7389532460200371, 9.257359121376485]",2.656019431536742,1.6027844079938567,genextreme,0.1407759127083565,"[0.15174377628453883, 2.0027472911599817, 1.467864273647113]",1.4777795884739646,1.2035350491908552,gumbel_r,0.185354373568956,"[0.936124779191955, 0.9383924280267247]",11.709211470762778,5.692653491144762,weibull_min,0.06775059963561514,"[1.9350013438030658, 1.138153695807235, 11.919289323026401]"
Bilal Coulibaly,12.521647609023917,6.51395480872135,beta,0.060224194365144756,"[2.0641366238651155, 2.9397975557750438, -0.8527185827561473, 32.42248955050049]",4.849349496197798,2.244292027751497,t,0.10423068967456162,"[9.905567049978679, 4.849349496197798, 2.0049622912673852]",,,cauchy,0.11822246712572215,"[3.7052596838340817, 1.3671460430538678]",20.896437459834395,8.098969828689864,invgauss,0.0957399980719828,"[0.03524456949761688, -22.24391370914976, 1224.0283193670775]"
Kyshawn George,8.050139693456082,5.525330861781516,weibull_min,0.06549255663907627,"[1.612117922005154, -0.6442533507265595, 9.70397068738729]",4.066045553709536,2.1379670870135183,gumbel_r,0.1334383259603353,"[3.1038466085719767, 1.6669660988873207]",2.2830052318179344,1.5344253197008437,weibull_min,0.1649237732383765,"[1.6906893941854655, -0.23859454230146165, 2.825057223976776]",14.363470799372582,7.131632479324148,genextreme,0.0676786031855934,"[-0.04213569405750037, 11.108934144858473, 5.244363113309897]"
Khris Middleton,12.47191217771511,7.197865254578183,logistic,0.10062907333550253,"[12.47191217771511, 3.9683911002014853]",3.727328934746767,1.6559364703488308,chi2,0.15922647498725012,"[173.11666142118463, -11.678962442506645, 0.08899369506537927]",4.3721253456899865,1.942591227221927,genextreme,0.13711183072018174,"[0.24179636615618882, 3.65017347763511, 1.900176760353928]",20.286917638767903,7.8633510376434534,gamma,0.11535589440726934,"[275.37694565578784, -110.2013463421828, 0.47385326200856615]"
Miles Bridges,20.16808949773301,7.012023102109521,logistic,0.08412298852233208,"[20.16808949773301, 3.86593095155813]",7.742875461479935,2.6186105368045967,genextreme,0.09572558203508974,"[0.174211969192437, 6.697472603367661, 2.442357360943168]",3.6999342110664126,2.2686489545725124,gumbel_r,0.13387487449993246,"[2.6789214722658663, 1.7688583330023115]",31.34090909090909,8.761857373188585,norm,0.06538671398034723,"[31.34090909090909, 8.761857373188585]"
Mark Williams,15.407400441425215,7.884129248073728,chi2,0.0880852919962749,"[5.519182454441898, 2.3102712013280424, 2.3730197992560402]",9.756232139804133,4.087246262343269,invgauss,0.1377629268249504,"[0.033635379520402756, -12.529794184805322, 662.5769247256765]",2.249617729170609,1.4240030916683453,logistic,0.17141625482647405,"[2.249617729170609, 0.7850940516067257]",27.444441136527455,11.49638860804547,chi2,0.1079487600982143,"[18.656217752752788, -7.667774815195197, 1.8820650796993257]"
Nick Smith Jr.,8.517323504981897,6.986255144093009,gumbel_r,0.1084355107026303,"[5.37313696865023, 5.447160788451634]",1.9455105275250366,1.9122338475268634,genextreme,0.16988644031908823,"[-0.1699069711431298, 1.075520979979692, 1.1192976200229263]",2.0493184763213783,2.287823808445077,genextreme,0.14949877237344816,"[-0.23012876757692893, 1.0416362495122837, 1.1603393247191787]",12.472329634616813,9.191107179850764,weibull_min,0.08389117426360937,"[1.4518754771608688, -0.6629464765758496, 14.489179212400082]"
Zach LaVine,23.662008902641066,8.413642373771868,beta,0.07294817388510927,"[1.7091993073866472, 1.9926268317579292, 6.765355395995762, 36.59519012478691]",4.6181877634984865,2.4063723605767557,genextreme,0.1086142320528426,"[0.14476840943247377, 3.6313556200469965, 2.19077914183268]",4.0,2.6897787362782397,laplace,0.15163799228770025,"[4.0, 1.9019607843137254]",32.86384535945713,8.588978580547588,weibull_min,0.08001340273807178,"[2.1803124352252894, 15.107531227628769, 20.04987986126988]"
