Player,Current Team,Opponent Team,Home Team,Away Team,Stat Type,Prop Line
LaMelo Ball,CHA,WAS,WAS,CHA,points,24.5
LaMelo Ball,CHA,WAS,WAS,CHA,pts_rebs_asts,36.5
LaMelo Ball,CHA,WAS,WAS,CHA,period_1_points,5.5
LaMelo Ball,CHA,WAS,WAS,CHA,assists,6.5
Alex Sarr,WAS,CHA,WAS,CHA,points,13.5
Alex Sarr,WAS,CHA,WAS,CHA,pts_rebs_asts,22.5
Alex Sarr,WAS,CHA,WAS,CHA,assists,2.5
Alex Sarr,WAS,CHA,WAS,CHA,period_1_points,3.5
Josh Green,CHA,WAS,WAS,CHA,points,7.5
Josh Green,CHA,WAS,WAS,CHA,pts_rebs_asts,12.5
Josh Green,CHA,WAS,WAS,CHA,rebounds,2.5
Josh Green,CHA,WAS,WAS,CHA,period_1_points,1.5
Bilal Coulibaly,WAS,CHA,WAS,CHA,points,14.5
Bilal Coulibaly,WAS,CHA,WAS,CHA,pts_rebs_asts,23.5
Bilal Coulibaly,WAS,CHA,WAS,CHA,rebounds,4.5
Bilal Coulibaly,WAS,CHA,WAS,CHA,period_1_points,3.5
Kyshawn George,WAS,CHA,WAS,CHA,points,10.5
Kyshawn George,WAS,CHA,WAS,CHA,pts_rebs_asts,18.5
Kyshawn George,WAS,CHA,WAS,CHA,assists,2.5
Kyshawn George,WAS,CHA,WAS,CHA,rebounds,4.5
Khris Middleton,WAS,CHA,WAS,CHA,points,14.5
Khris Middleton,WAS,CHA,WAS,CHA,pts_rebs_asts,23.5
Khris Middleton,WAS,CHA,WAS,CHA,rebounds,4.5
Khris Middleton,WAS,CHA,WAS,CHA,assists,4.5
Miles Bridges,CHA,WAS,WAS,CHA,points,23.5
Miles Bridges,CHA,WAS,WAS,CHA,pts_rebs_asts,35.5
Miles Bridges,CHA,WAS,WAS,CHA,assists,4.5
Miles Bridges,CHA,WAS,WAS,CHA,period_1_points,7.5
Mark Williams,CHA,WAS,WAS,CHA,points,15.5
Mark Williams,CHA,WAS,WAS,CHA,pts_rebs_asts,29.5
Mark Williams,CHA,WAS,WAS,CHA,rebounds,11.5
Mark Williams,CHA,WAS,WAS,CHA,assists,2.5
Nick Smith Jr.,CHA,WAS,WAS,CHA,points,13.5
Nick Smith Jr.,CHA,WAS,WAS,CHA,pts_rebs_asts,19.5
Nick Smith Jr.,CHA,WAS,WAS,CHA,assists,2.5
Nick Smith Jr.,CHA,WAS,WAS,CHA,period_1_points,2.5
Zach LaVine,SAC,HOU,SAC,HOU,points,21.5
Zach LaVine,SAC,HOU,SAC,HOU,pts_rebs_asts,29.5
Zach LaVine,SAC,HOU,SAC,HOU,assists,3.5
Zach LaVine,SAC,HOU,SAC,HOU,rebounds,3.5
Domantas Sabonis,SAC,HOU,SAC,HOU,points,16.5
Domantas Sabonis,SAC,HOU,SAC,HOU,pts_rebs_asts,37.5
Domantas Sabonis,SAC,HOU,SAC,HOU,assists,5.5
Domantas Sabonis,SAC,HOU,SAC,HOU,period_1_points,4.5
DeMar DeRozan,SAC,HOU,SAC,HOU,points,20.5
DeMar DeRozan,SAC,HOU,SAC,HOU,pts_rebs_asts,27.5
DeMar DeRozan,SAC,HOU,SAC,HOU,rebounds,3.5
DeMar DeRozan,SAC,HOU,SAC,HOU,assists,3.5
Keegan Murray,SAC,HOU,SAC,HOU,points,11.5
Keegan Murray,SAC,HOU,SAC,HOU,pts_rebs_asts,18.5
Keegan Murray,SAC,HOU,SAC,HOU,period_1_points,2.5
Keegan Murray,SAC,HOU,SAC,HOU,assists,1.5
Jabari Smith Jr.,HOU,SAC,SAC,HOU,points,10.5
Jabari Smith Jr.,HOU,SAC,SAC,HOU,pts_rebs_asts,18.5
Jabari Smith Jr.,HOU,SAC,SAC,HOU,rebounds,6.5
Jabari Smith Jr.,HOU,SAC,SAC,HOU,assists,1.5
Amen Thompson,HOU,SAC,SAC,HOU,points,16.5
Amen Thompson,HOU,SAC,SAC,HOU,pts_rebs_asts,30.5
Amen Thompson,HOU,SAC,SAC,HOU,rebounds,9.5
Amen Thompson,HOU,SAC,SAC,HOU,assists,4.5
Keon Ellis,SAC,HOU,SAC,HOU,points,7.5
Keon Ellis,SAC,HOU,SAC,HOU,pts_rebs_asts,10.5
Keon Ellis,SAC,HOU,SAC,HOU,rebounds,2.5
Keon Ellis,SAC,HOU,SAC,HOU,assists,1.5
Keon Ellis,SAC,HOU,SAC,HOU,three_points_made,1.5
Alperen Sengun,HOU,SAC,SAC,HOU,points,19.5
Alperen Sengun,HOU,SAC,SAC,HOU,pts_rebs_asts,35.5
Alperen Sengun,HOU,SAC,SAC,HOU,assists,4.5
Alperen Sengun,HOU,SAC,SAC,HOU,rebounds,9.5
Jalen Green,HOU,SAC,SAC,HOU,points,23.5
Jalen Green,HOU,SAC,SAC,HOU,pts_rebs_asts,31.5
Jalen Green,HOU,SAC,SAC,HOU,assists,3.5
Jalen Green,HOU,SAC,SAC,HOU,rebounds,4.5
Fred VanVleet,HOU,SAC,SAC,HOU,points,12.5
Fred VanVleet,HOU,SAC,SAC,HOU,pts_rebs_asts,20.5
Fred VanVleet,HOU,SAC,SAC,HOU,assists,4.5
Fred VanVleet,HOU,SAC,SAC,HOU,rebounds,2.5
Dillon Brooks,HOU,SAC,SAC,HOU,points,12.5
Dillon Brooks,HOU,SAC,SAC,HOU,pts_rebs_asts,16.5
Dillon Brooks,HOU,SAC,SAC,HOU,rebounds,3.5
Dillon Brooks,HOU,SAC,SAC,HOU,assists,1.5
Malik Monk,SAC,HOU,SAC,HOU,points,17.5
Malik Monk,SAC,HOU,SAC,HOU,pts_rebs_asts,27.5
Malik Monk,SAC,HOU,SAC,HOU,period_1_points,4.5
Malik Monk,SAC,HOU,SAC,HOU,rebounds,3.5
Tari Eason,HOU,SAC,SAC,HOU,points,10.5
Tari Eason,HOU,SAC,SAC,HOU,pts_rebs_asts,16.5
Tari Eason,HOU,SAC,SAC,HOU,assists,0.5
Tari Eason,HOU,SAC,SAC,HOU,rebounds,5.5
Ja Morant,MEM,SAS,SAS,MEM,points,23.5
Ja Morant,MEM,SAS,SAS,MEM,pts_rebs_asts,36.5
Ja Morant,MEM,SAS,SAS,MEM,period_1_points,5.5
Ja Morant,MEM,SAS,SAS,MEM,rebounds,5.5
Desmond Bane,MEM,SAS,SAS,MEM,points,20.5
Desmond Bane,MEM,SAS,SAS,MEM,pts_rebs_asts,33.5
Desmond Bane,MEM,SAS,SAS,MEM,rebounds,6.5
Desmond Bane,MEM,SAS,SAS,MEM,period_1_points,4.5
Devin Vassell,SAS,MEM,SAS,MEM,points,15.5
Devin Vassell,SAS,MEM,SAS,MEM,pts_rebs_asts,20.5
Devin Vassell,SAS,MEM,SAS,MEM,rebounds,3.5
Devin Vassell,SAS,MEM,SAS,MEM,period_1_points,3.5
