Player,Probability j,Probability n,Over/Under A,Over/Under B,Stat Type
Brandin Podziemski,0.6349863186360476,0.9206349206349204,under,under,points
Keon Ellis,0.5426616635334165,0.8288770053475935,under,under,points
Stephen Curry,0.6014396574185924,0.7600000000000002,under,under,points
Damian Lillard,0.6212577224899116,0.735632183908046,over,over,rebounds
Giannis Antetokounmpo,0.6651265658269228,0.7342657342657343,over,over,points
Tyrese Maxey,0.5305465728093185,0.7317073170731707,under,under,rebounds
Kyrie Irving,0.5036766107257027,0.7222222222222223,under,under,points
Taurean Prince,1.0,0.6885245901639345,over,over,points
Kyle Kuzma,0.6212370612874,0.6666666666666666,under,under,rebounds
Stephen Curry,0.9994619395428109,0.6634615384615384,over,over,rebounds
Miles Bridges,0.6166069461506076,0.6600000000000001,under,under,points
Damian Lillard,0.5303550463906789,0.6296296296296297,over,over,points
Jalen Green,0.5882743259984144,0.6264367816091954,under,under,points
De'Aaron Fox,0.5686102930291936,0.6153846153846154,over,over,rebounds
De'Aaron Fox,0.5332525220013133,0.5873015873015872,over,over,points
Dillon Brooks,0.6671566795513646,0.5800000000000001,over,over,assists
Jabari Smith Jr.,0.5360467370646277,0.5568862275449104,over,over,points
Tyrese Maxey,0.5248182118589382,0.5555555555555556,under,under,points
Desmond Bane,0.7596712776810908,0.5517241379310345,under,under,points
Jalen Green,0.6230741078464433,0.5089285714285714,over,over,rebounds
Keldon Johnson,0.5274285445193709,0.5079365079365079,under,under,rebounds
