Player,Opponent,Stat Type,Prop Line,Predicted Value,Edge,EV,Optimal Bet
Scottie Barnes,TOR,assists,2.5,6.03,3.5300000000000002,6.233315789473684,100.0
Paul George,TOR,points,11.5,18.79,7.289999999999999,13.377315789473682,100.0
Paul George,TOR,pts_rebs_asts,18.5,26.96,8.46,15.600315789473687,100.0
Paul George,TOR,assists,2.5,3.82,1.3199999999999998,2.0343157894736836,100.0
Immanuel Quickley,TOR,rebounds,3.5,3.86,0.3599999999999999,0.2103157894736839,23.809520660116306
Immanuel Quickley,TOR,assists,5.5,5.9,0.40000000000000036,0.28631578947368486,17.079417841211132
Jamal Shead,TOR,points,7.5,9.39,1.8900000000000006,3.117315789473685,47.89660172850474
Jamal Shead,TOR,assists,3.5,4.05,0.5499999999999998,0.5713157894736839,49.46042275891675
Guerschon Yabusele,TOR,points,9.5,12.89,3.3900000000000006,5.967315789473685,100.0
Guerschon Yabusele,TOR,pts_rebs_asts,18.5,19.33,0.8299999999999983,1.103315789473681,21.469217720164586
Ochai Agbaji,TOR,pts_rebs_asts,14.5,14.83,0.33000000000000007,0.1533157894736843,6.268996722302557
Ochai Agbaji,TOR,rebounds,2.5,4.0,1.5,2.3763157894736837,100.0
Joel Embiid,TOR,pts_rebs_asts,42.5,42.92,0.4200000000000017,0.32431578947368733,3.9026202582676195
Joel Embiid,TOR,rebounds,6.5,10.41,3.91,6.955315789473684,100.0
Joel Embiid,TOR,assists,4.5,5.1,0.5999999999999996,0.6663157894736834,40.3225752254603
Tyrese Maxey,TOR,points,12.5,29.83,17.33,32.45331578947368,100.0
Tyrese Maxey,TOR,pts_rebs_asts,20.5,39.19,18.689999999999998,35.03731578947368,100.0
Tyrese Maxey,TOR,assists,3.5,6.1,2.5999999999999996,4.466315789473684,100.0
Gradey Dick,TOR,points,8.5,12.34,3.84,6.8223157894736834,40.34460936447553
Gradey Dick,TOR,pts_rebs_asts,12.5,16.91,4.41,7.905315789473684,40.7804690072042
Gradey Dick,TOR,rebounds,2.5,3.37,0.8700000000000001,1.179315789473684,84.96092090607014
Ja'Kobe Walter,TOR,points,6.5,10.97,4.470000000000001,8.019315789473685,100.0
Ja'Kobe Walter,TOR,pts_rebs_asts,10.5,14.48,3.9800000000000004,7.088315789473684,81.35731474418175
Quentin Grimes,TOR,rebounds,2.5,2.92,0.41999999999999993,0.324315789473684,46.15383601014592
Justin Edwards,TOR,rebounds,1.5,2.18,0.6800000000000002,0.8183157894736844,100.0
Chris Boucher,TOR,points,5.5,8.91,3.41,6.005315789473684,49.78102044434977
Jalen Brunson,NYK,points,21.5,28.35,6.850000000000001,12.541315789473687,40.74955335217665
