Player,Current Team,Opponent Team,Stat Type,Prop Line,Higher Payout,Lower Payout
LeBron James,LAL,CHA,pts_rebs_asts,39.5,1,1
LeBron James,LAL,CHA,period_1_points,5.5,1,1
LeBron James,LAL,CHA,assists,7.5,1,1
LeBron James,LAL,CHA,rebounds,7.5,1,1
Jaxson Hayes,LAL,CHA,points,8.5,1,1
Jaxson Hayes,LAL,CHA,pts_rebs_asts,15.5,1,1
Jaxson Hayes,LAL,CHA,assists,1.5,1,1
Jaxson Hayes,LAL,CHA,period_1_points,2.5,1,1
Luka Doncic,LAL,CHA,points,23.5,1,1
Luka Doncic,LAL,CHA,pts_rebs_asts,36.5,1,1
Luka Doncic,LAL,CHA,period_1_points,5.5,1,1
Luka Doncic,LAL,CHA,assists,6.5,1,1
Austin Reaves,LAL,CHA,points,19.5,1,1
Austin Reaves,LAL,CHA,pts_rebs_asts,30.5,1,1
Austin Reaves,LAL,CHA,period_1_points,5.5,1,1
Austin Reaves,LAL,CHA,rebounds,4.5,1,1
Rui Hachimura,LAL,CHA,points,15.5,1,1
Rui Hachimura,LAL,CHA,pts_rebs_asts,21.5,1,1
Rui Hachimura,LAL,CHA,assists,0.5,1,1
Rui Hachimura,LAL,CHA,rebounds,4.5,1,1
Jayson Tatum,BOS,PHI,points,26.5,1,1
Jayson Tatum,BOS,PHI,pts_rebs_asts,39.5,1,1
Jayson Tatum,BOS,PHI,period_1_points,6.5,1,1
Jayson Tatum,BOS,PHI,assists,5.5,1,1
Jaylen Brown,BOS,PHI,points,22.5,1,1
Jaylen Brown,BOS,PHI,pts_rebs_asts,32.5,1,1
Jaylen Brown,BOS,PHI,assists,4.5,1,1
Jaylen Brown,BOS,PHI,period_1_points,5.5,1,1
Kristaps Porzingis,BOS,PHI,points,18.5,1,1
Kristaps Porzingis,BOS,PHI,pts_rebs_asts,27.5,1,1
Kristaps Porzingis,BOS,PHI,assists,1.5,1,1
Kristaps Porzingis,BOS,PHI,rebounds,7.5,1,1
Jrue Holiday,BOS,PHI,points,8.5,1,1
Jrue Holiday,BOS,PHI,pts_rebs_asts,15.5,1,1
Jrue Holiday,BOS,PHI,rebounds,3.5,1,1
Jrue Holiday,BOS,PHI,assists,3.5,1,1
Derrick White,BOS,PHI,points,14.0,1,1
Derrick White,BOS,PHI,pts_rebs_asts,22.0,1,1
Derrick White,BOS,PHI,rebounds,3.5,1,1
Derrick White,BOS,PHI,assists,4.5,1,1
Ja Morant,MEM,IND,points,21.5,1,1
Ja Morant,MEM,IND,pts_rebs_asts,33.5,1,1
Ja Morant,MEM,IND,rebounds,4.5,1,1
Ja Morant,MEM,IND,assists,7.5,1,1
Desmond Bane,MEM,IND,points,19.5,1,1
Desmond Bane,MEM,IND,pts_rebs_asts,30.5,1,1
Desmond Bane,MEM,IND,rebounds,5.5,1,1
Desmond Bane,MEM,IND,period_1_points,4.5,1,1
Jaren Jackson Jr.,MEM,IND,points,21.5,1,1
Jaren Jackson Jr.,MEM,IND,pts_rebs_asts,30.5,1,1
Jaren Jackson Jr.,MEM,IND,period_1_points,4.5,1,1
Jaren Jackson Jr.,MEM,IND,rebounds,6.5,1,1
Luke Kennard,MEM,IND,points,4.5,1,1
Luke Kennard,MEM,IND,pts_rebs_asts,9.5,1,1
Luke Kennard,MEM,IND,period_1_points,0.5,1,1
Luke Kennard,MEM,IND,rebounds,2.5,1,1
Zach Edey,MEM,IND,points,7.5,1,1
Zach Edey,MEM,IND,pts_rebs_asts,15.5,1,1
Zach Edey,MEM,IND,rebounds,7.5,1,1
Zach Edey,MEM,IND,period_1_points,2.5,1,1
GG Jackson,MEM,IND,points,9.5,1,1
GG Jackson,MEM,IND,pts_rebs_asts,13.5,1,1
GG Jackson,MEM,IND,assists,0.5,1,1
GG Jackson,MEM,IND,rebounds,3.5,1,1
Santi Aldama,MEM,IND,points,11.5,1,1
Santi Aldama,MEM,IND,pts_rebs_asts,19.5,1,1
Santi Aldama,MEM,IND,assists,1.5,1,1
Santi Aldama,MEM,IND,rebounds,6.5,1,1
Jaylen Wells,MEM,IND,points,8.5,1,1
Jaylen Wells,MEM,IND,pts_rebs_asts,12.5,1,1
Jaylen Wells,MEM,IND,assists,1.5,1,1
Jaylen Wells,MEM,IND,rebounds,2.5,1,1
Nikola Vucevic,CHI,NYK,points,17.5,1,1
Nikola Vucevic,CHI,NYK,pts_rebs_asts,31.5,1,1
Nikola Vucevic,CHI,NYK,assists,3.5,1,1
Nikola Vucevic,CHI,NYK,rebounds,10.0,1,1
Josh Giddey,CHI,NYK,points,13.5,1,1
Josh Giddey,CHI,NYK,pts_rebs_asts,26.5,1,1
Josh Giddey,CHI,NYK,assists,6.0,1,1
Josh Giddey,CHI,NYK,rebounds,6.0,1,1
Matas Buzelis,CHI,NYK,points,12.5,1,1
Matas Buzelis,CHI,NYK,rebounds,4.5,1,1
Coby White,CHI,NYK,points,20.5,1,1
Coby White,CHI,NYK,pts_rebs_asts,28.5,1,1
Coby White,CHI,NYK,assists,4.5,1,1
