Player,Points Mean,Points Std Dev,Points Distribution,Points MSE,Points Params,Rebounds Mean,Rebounds Std Dev,Rebounds Distribution,Rebounds MSE,Rebounds Params,Assists Mean,Assists Std Dev,Assists Distribution,Assists MSE,Assists Params,Total Mean,Total Std Dev,Total Distribution,Total MSE,Total Params
Jalen Brunson,26.833333333333332,18.833333333333332,expon,827.3201343827201,"(8.0, 18.833333333333332)",2.7666666666666666,2.7666666666666666,expon,10.47365560072357,"(0.0, 2.7666666666666666)",6.583130766378844,2.726222595708606,gamma,57.949024456145324,"(np.float64(0.8977804792600903), np.float64(3.999999999999999), np.float64(2.8772409581769285))",36.8,19.799999999999997,expon,1483.1780564863138,"(17.0, 19.799999999999997)"
Karl-Anthony Towns,24.941762801849585,10.152069795516695,beta,682.8247315761938,"(np.float64(0.888040618300429), np.float64(1.0626605682976922), np.float64(8.999999999999998), np.float64(35.018235622543656))",14.0,4.618802153517006,uniform,205.523046875,"(6.0, 16.0)",3.3473340524921156,2.216316150305569,gumbel_r,14.451086514549566,"(np.float64(2.3498738601117686), 1.7280546129157872)",40.62651282681024,14.090586724155518,beta,1803.0661258293258,"(np.float64(0.7780611296986661), np.float64(0.8769210345811806), np.float64(18.999999999999996), np.float64(46.00087530115006))"
OG Anunoby,15.068730031157937,7.607226288301144,beta,280.3929473168684,"(np.float64(0.9602293273117966), np.float64(1.6270249203468397), np.float64(3.9999999999999996), np.float64(29.82372853521599))",5.0,2.8867513459481287,uniform,22.603666666666665,"(0.0, 10.0)",2.5161627242739724,1.0492361498646026,triang,5.481328408813605,"(np.float64(0.9999990781693339), np.float64(-0.45152526226638245), np.float64(4.451534031590823))",21.266666666666666,16.266666666666666,expon,524.8435151165854,"(5.0, 16.266666666666666)"
Josh Hart,16.0,8.082903768654761,uniform,277.4797619047619,"(2.0, 28.0)",10.5,4.330127018922194,uniform,127.07348148148148,"(3.0, 15.0)",6.153799685701258,6.368513046079614,chi2,43.38474162302363,"(np.float64(1.8674140439401232), np.float64(-4.66152579335334e-25), np.float64(3.2953590049677133))",32.320312408629455,9.434131443690028,beta,1091.6104175515763,"(np.float64(0.8312662050530475), np.float64(1.033565855305539), np.float64(17.999999999999996), np.float64(32.12566267175377))"
Andre Drummond,6.6,6.6,expon,55.01728492029987,"(0.0, 6.6)",8.5,3.7527767497325675,uniform,55.95404339250493,"(2.0, 13.0)",0.922804445085458,0.7616928083324206,triang,0.9461176132644574,"(np.float64(0.9999999096313128), np.float64(-1.231588154726054), np.float64(3.2315890457344985))",14.0,6.928203230275509,uniform,230.10422453703703,"(2.0, 24.0)"
Justin Edwards,8.16,8.16,expon,96.11851525117683,"(0.0, 8.16)",3.5,2.0207259421636903,uniform,13.200816326530612,"(0.0, 7.0)",inf,inf,pareto,3.3870219924879996,"(np.float64(0.4864545035651062), np.float64(-0.10136601026440754), np.float64(0.10136601026440753))",11.762201041254524,12.056534429431807,chi2,216.96777034692633,"(np.float64(1.9035408911595364), np.float64(-1.203948001054151e-24), np.float64(6.1791165589774195))"
Paul George,16.31833927976731,7.494244906206623,triang,332.40207124793767,"(np.float64(0.31978982246607185), np.float64(0.5054138709100219), np.float64(35.944190066514466))",5.1,4.1,expon,33.84344040785587,"(1.0, 4.1)",4.1,4.1,expon,23.303139365446572,"(0.0, 4.1)",26.158565035083868,10.386827472432957,beta,724.8659684938604,"(np.float64(0.7946814112282287), np.float64(1.0681744679786573), np.float64(10.999999999999998), np.float64(35.534016018195295))"
Tyrese Maxey,28.5,23.5,expon,878.4629921910775,"(5.0, 23.5)",3.0,2.215601247717849,laplace,14.713933932540009,"(np.float64(3.0), np.float64(1.5666666666666667))",7.5,3.1754264805429413,uniform,51.67906336088154,"(2.0, 11.0)",38.36666666666667,25.366666666666667,expon,1572.0176603836273,"(13.0, 25.366666666666667)"
Mikal Bridges,17.632048079406605,18.360068778918684,chi2,369.8371191624404,"(np.float64(1.844535044845243), np.float64(-4.46004052017223e-26), np.float64(9.55907459100943))",2.73249347030632,1.8884450757443765,gumbel_r,11.54963608572561,"(np.float64(1.882592706693691), 1.4724145848633776)",3.298780676716822,1.949964705314907,gumbel_r,13.464220298316029,"(np.float64(2.421192806488953), 1.520381243252601)",22.0,9.569511772057943,laplace,629.1687922277673,"(np.float64(22.0), np.float64(6.766666666666667))"
Quentin Grimes,15.0,8.660254037844387,uniform,198.26777777777778,"(0.0, 30.0)",4.566666666666666,4.566666666666666,expon,26.78301090024593,"(0.0, 4.566666666666666)",3.0,1.7320508075688772,uniform,12.239814814814816,"(0.0, 6.0)",19.0,9.192388155425117,laplace,480.3554018984669,"(np.float64(19.0), np.float64(6.5))"
