Player,Current Team,Opponent Team,Home Team,Away Team,Stat Type,Prop Line,Probability,Bet
Brandin Podziemski,GSW,ORL,GSW,ORL,assists,3.5,1.0,over
Aaron Gordon,DEN,MIL,DEN,MIL,rebounds,4.5,1.0,over
Buddy Hield,GSW,ORL,GSW,ORL,rebounds,2.5,1.0,over
Kentavious Caldwell-Pope,ORL,GSW,GSW,ORL,assists,1.5,1.0,over
Taurean Prince,MIL,DEN,DEN,MIL,points,7.5,1.0,over
CJ McCollum,NOP,PHX,NOP,PHX,points,19.5,1.0,over
Mike Conley,MIN,LAL,MIN,LAL,rebounds,2.5,1.0,over
Taurean Prince,MIL,DEN,DEN,MIL,rebounds,2.5,0.9902491303356682,over
Jordan Hawkins,NOP,PHX,NOP,PHX,pts_rebs_asts,15.5,0.984778493009578,over
Rui Hachimura,LAL,MIN,MIN,LAL,pts_rebs_asts,21.5,0.9788919885769343,over
Brandin Podziemski,GSW,ORL,GSW,ORL,rebounds,5.5,0.9704780674516401,over
Gui Santos,GSW,ORL,GSW,ORL,rebounds,3.5,0.9468141993976622,over
Anthony Edwards,MIN,LAL,MIN,LAL,assists,5.5,0.9211465189917768,over
Jaden McDaniels,MIN,LAL,MIN,LAL,assists,2.5,0.8926915773046025,over
Julian Strawther,DEN,MIL,DEN,MIL,assists,0.5,0.8796923871651289,over
Anthony Edwards,MIN,LAL,MIN,LAL,pts_rebs_asts,40.5,0.8786344521121175,under
Gui Santos,GSW,ORL,GSW,ORL,pts_rebs_asts,9.5,0.8438537179240857,over
Naz Reid,MIN,LAL,MIN,LAL,points,21.5,0.8433974070741713,under
Rui Hachimura,LAL,MIN,MIN,LAL,assists,1.5,0.8182193052179386,over
Kessler Edwards,DAL,CHA,CHA,DAL,pts_rebs_asts,11.5,0.8113881106720995,under
Naji Marshall,DAL,CHA,CHA,DAL,pts_rebs_asts,19.5,0.8001479837420526,over
Moses Moody,GSW,ORL,GSW,ORL,rebounds,3.5,0.7996139248793431,under
Moses Moody,GSW,ORL,GSW,ORL,pts_rebs_asts,16.5,0.7955603116958788,under
Christian Braun,DEN,MIL,DEN,MIL,points,14.5,0.7899989196225125,under
Max Christie,DAL,CHA,CHA,DAL,assists,3.5,0.7860326821242609,under
Russell Westbrook,DEN,MIL,DEN,MIL,pts_rebs_asts,20.5,0.772262232745502,over
Kessler Edwards,DAL,CHA,CHA,DAL,points,5.5,0.7678729546007552,under
Dorian Finney-Smith,LAL,MIN,MIN,LAL,points,6.5,0.7650621009519027,over
Moses Moody,GSW,ORL,GSW,ORL,points,11.5,0.7509989584613739,under
Damian Lillard,MIL,DEN,DEN,MIL,assists,7.5,0.7379055325508191,under
Nickeil Alexander-Walker,MIN,LAL,MIN,LAL,points,10.5,0.7193834574378282,under
Quinten Post,GSW,ORL,GSW,ORL,assists,0.5,0.70532124800164,over
