Name,Probability,Hit or Miss
Brandin Podziemski,1.0,1
Aaron Gordon,1.0,1
Buddy Hield,1.0,0
Kentavious Caldwell-Pope,1.0,0
Taurean Prince,1.0,1
CJ McCollum,1.0,0
Mike Conley,1.0,0
Taurean Prince,0.9902491303356682,1
Jordan Hawkins,0.984778493009578,1
Rui Hachimura,0.9788919885769344,0
Brandin Podziemski,0.97047806745164,0
Gui Santos,0.9468141993976622,0
Anthony Edwards,0.9211465189917768,0
Jaden McDaniels,0.8926915773046025,0
Julian Strawther,0.8796923871651289,0
Anthony Edwards,0.8786344521121175,1
Gui Santos,0.8438537179240857,0
Naz Reid,0.8433974070741713,1
Rui Hachimura,0.8182193052179386,1
Kessler Edwards,0.8113881106720995,1
Naji Marshall,0.8001479837420526,0
Moses Moody,0.7996139248793431,1
Moses Moody,0.7955603116958788,1
Christian Braun,0.7899989196225125,1
Max Christie,0.7860326821242609,0
Russell Westbrook,0.772262232745502,1
Kessler Edwards,0.7678729546007552,1
Dorian Finney-Smith,0.7650621009519027,0
Moses Moody,0.7509989584613739,1
Damian Lillard,0.7379055325508191,1
Nickeil Alexander-Walker,0.7193834574378282,0
Quinten Post,0.70532124800164,1
Kentavious Caldwell-Pope,0.7051652038111171,0
Naz Reid,0.6991547778101264,1
Kevon Looney,0.6980446214881895,0
Taurean Prince,0.692619018202476,1
Grayson Allen,0.6922004141044695,0
Bol Bol,0.681500804461586,0
Brandin Podziemski,0.6814038262693279,1
Kessler Edwards,0.6806424920859033,1
AJ Green,0.6805268578019454,0
Jaxson Hayes,0.6751629521764598,0
Austin Reaves,0.6697311655056097,1
LeBron James,0.6677196720515287,1
Christian Braun,0.6675773935888015,1
Donte DiVincenzo,0.661492815153879,1
Wendell Carter Jr.,0.6526753359826281,0
Naji Marshall,0.6343659722553758,1
Stephen Curry,0.6334598777409253,0
Gui Santos,0.6331849453433761,1
Dorian Finney-Smith,0.6296783793874576,1
Yves Missi,0.6213114297058784,1
Zion Williamson,0.6198427292190363,0
Gabe Vincent,0.612795951104554,0
Aaron Gordon,0.6086432498881054,0
Zion Williamson,0.6083576254674705,0
Gary Payton II,0.6053683584074093,0
Brandin Podziemski,0.5958680696301994,1
Quinten Post,0.5864607816368566,1
Kyle Kuzma,0.5862751558322297,1
Michael Porter Jr.,0.585020088528766,0
Giannis Antetokounmpo,0.578620489740868,1
Zion Williamson,0.5776363353695766,1
Dorian Finney-Smith,0.5772814826410314,1
Gary Trent Jr.,0.5756374845052462,1
Gabe Vincent,0.5721435313841035,1
Giannis Antetokounmpo,0.5719413025418203,0
AJ Green,0.5707390432939321,1
AJ Green,0.5566131352417323,1
Jaden McDaniels,0.5560410148005576,1
Nick Richards,0.5538541965429904,1
Jaden McDaniels,0.5511058928195506,1
Gui Santos,0.5497414212057858,1
AJ Green,0.5476792796678069,1
Aaron Gordon,0.5452750220538995,1
LeBron James,0.5397915120626382,1
Damian Lillard,0.5358509866263959,0
Yves Missi,0.5329770047929209,0
Brook Lopez,0.5253568035476958,0
Naji Marshall,0.5241364584454773,1
Draymond Green,0.5209644037723425,0
Devin Booker,0.5196152422706632,0
Grayson Allen,0.5148743507920253,0
Gabe Vincent,0.5141957798593415,0
Mike Conley,0.5119968950029278,1
Yves Missi,0.5114781318742565,0
Quinten Post,0.5110097251669292,0
Gary Payton II,0.507279458847104,1
Donte DiVincenzo,0.5026013689476283,1
Buddy Hield,0.50155382049231,0
