Player,Stat Type,Prop Line,PTS,AST,REB,Expected Value
nic claxton,points,12.5,16,3,9,12.5
nic claxton,points,12.5,8,4,9,0.0
nic claxton,points,12.5,13,3,11,12.5
nic claxton,points,12.5,16,1,4,12.5
nic claxton,points,12.5,12,1,10,0.0
nic claxton,points,12.5,5,2,6,0.0
nic claxton,points,12.5,14,2,4,12.5
nic claxton,points,12.5,17,2,5,12.5
nic claxton,points,12.5,12,0,8,0.0
nic claxton,points,12.5,6,3,7,0.0
nic claxton,points,12.5,13,2,5,12.5
nic claxton,points,12.5,10,2,12,0.0
nic claxton,points,12.5,8,2,12,0.0
nic claxton,points,12.5,11,0,5,0.0
nic claxton,points,12.5,7,2,8,0.0
nic claxton,points,12.5,2,2,5,0.0
nic claxton,points,12.5,14,4,12,12.5
nic claxton,points,12.5,10,1,6,0.0
nic claxton,points,12.5,14,3,6,12.5
nic claxton,points,12.5,4,3,7,0.0
nic claxton,points,12.5,10,0,5,0.0
nic claxton,points,12.5,16,2,11,12.5
nic claxton,points,12.5,16,4,10,12.5
nic claxton,points,12.5,6,1,5,0.0
nic claxton,points,12.5,11,0,10,0.0
nic claxton,points,12.5,13,3,7,12.5
nic claxton,points,12.5,6,2,10,0.0
nic claxton,points,12.5,10,0,5,0.0
nic claxton,points,12.5,7,0,5,0.0
nic claxton,points,12.5,8,2,4,0.0
nic claxton,points,12.5,8,1,7,0.0
nic claxton,points,12.5,21,4,10,12.5
nic claxton,points,12.5,16,2,8,12.5
nic claxton,points,12.5,11,0,8,0.0
nic claxton,points,12.5,9,0,7,0.0
nic claxton,points,12.5,8,2,7,0.0
nic claxton,points,12.5,4,3,7,0.0
nic claxton,points,12.5,12,3,8,0.0
nic claxton,points,12.5,3,2,5,0.0
nic claxton,points,12.5,13,3,9,12.5
nic claxton,points,12.5,10,4,10,0.0
nic claxton,points,12.5,2,3,10,0.0
nic claxton,points,12.5,10,3,8,0.0
nic claxton,points,12.5,8,5,1,0.0
nic claxton,points,12.5,12,2,9,0.0
nic claxton,points,12.5,16,2,12,12.5
nic claxton,points,12.5,10,1,11,0.0
nic claxton,points,12.5,4,3,5,0.0
nic claxton,points,12.5,7,0,5,0.0
nic claxton,assists,2.5,16,3,9,2.5
nic claxton,assists,2.5,8,4,9,2.5
nic claxton,assists,2.5,13,3,11,2.5
nic claxton,assists,2.5,16,1,4,0.0
nic claxton,assists,2.5,12,1,10,0.0
nic claxton,assists,2.5,5,2,6,0.0
nic claxton,assists,2.5,14,2,4,0.0
nic claxton,assists,2.5,17,2,5,0.0
nic claxton,assists,2.5,12,0,8,0.0
nic claxton,assists,2.5,6,3,7,2.5
nic claxton,assists,2.5,13,2,5,0.0
nic claxton,assists,2.5,10,2,12,0.0
nic claxton,assists,2.5,8,2,12,0.0
nic claxton,assists,2.5,11,0,5,0.0
nic claxton,assists,2.5,7,2,8,0.0
nic claxton,assists,2.5,2,2,5,0.0
nic claxton,assists,2.5,14,4,12,2.5
nic claxton,assists,2.5,10,1,6,0.0
nic claxton,assists,2.5,14,3,6,2.5
nic claxton,assists,2.5,4,3,7,2.5
nic claxton,assists,2.5,10,0,5,0.0
nic claxton,assists,2.5,16,2,11,0.0
nic claxton,assists,2.5,16,4,10,2.5
nic claxton,assists,2.5,6,1,5,0.0
nic claxton,assists,2.5,11,0,10,0.0
nic claxton,assists,2.5,13,3,7,2.5
nic claxton,assists,2.5,6,2,10,0.0
nic claxton,assists,2.5,10,0,5,0.0
nic claxton,assists,2.5,7,0,5,0.0
nic claxton,assists,2.5,8,2,4,0.0
nic claxton,assists,2.5,8,1,7,0.0
nic claxton,assists,2.5,21,4,10,2.5
nic claxton,assists,2.5,16,2,8,0.0
nic claxton,assists,2.5,11,0,8,0.0
nic claxton,assists,2.5,9,0,7,0.0
nic claxton,assists,2.5,8,2,7,0.0
nic claxton,assists,2.5,4,3,7,2.5
nic claxton,assists,2.5,12,3,8,2.5
nic claxton,assists,2.5,3,2,5,0.0
nic claxton,assists,2.5,13,3,9,2.5
nic claxton,assists,2.5,10,4,10,2.5
nic claxton,assists,2.5,2,3,10,2.5
nic claxton,assists,2.5,10,3,8,2.5
nic claxton,assists,2.5,8,5,1,2.5
nic claxton,assists,2.5,12,2,9,0.0
nic claxton,assists,2.5,16,2,12,0.0
nic claxton,assists,2.5,10,1,11,0.0
nic claxton,assists,2.5,4,3,5,2.5
nic claxton,assists,2.5,7,0,5,0.0
jordan poole,points,20.5,16,4,3,0.0
jordan poole,points,20.5,11,5,2,0.0
jordan poole,points,20.5,42,5,5,20.5
jordan poole,points,20.5,16,4,6,0.0
jordan poole,points,20.5,21,6,5,20.5
jordan poole,points,20.5,45,5,4,20.5
jordan poole,points,20.5,19,8,3,0.0
jordan poole,points,20.5,6,6,3,0.0
jordan poole,points,20.5,19,3,4,0.0
jordan poole,points,20.5,19,2,5,0.0
jordan poole,points,20.5,3,2,0,0.0
jordan poole,points,20.5,15,6,6,0.0
jordan poole,points,20.5,19,10,4,0.0
jordan poole,points,20.5,24,9,2,20.5
jordan poole,points,20.5,15,3,7,0.0
jordan poole,points,20.5,11,3,1,0.0
jordan poole,points,20.5,38,5,5,20.5
jordan poole,points,20.5,18,4,4,0.0
jordan poole,points,20.5,20,4,7,0.0
jordan poole,points,20.5,13,4,3,0.0
jordan poole,points,20.5,22,2,2,20.5
jordan poole,points,20.5,26,7,4,20.5
jordan poole,points,20.5,30,2,3,20.5
jordan poole,points,20.5,25,3,6,20.5
jordan poole,points,20.5,31,7,3,20.5
jordan poole,points,20.5,26,3,5,20.5
jordan poole,points,20.5,27,4,3,20.5
jordan poole,points,20.5,21,7,3,20.5
jordan poole,points,20.5,17,6,5,0.0
jordan poole,points,20.5,9,2,1,0.0
jordan poole,points,20.5,39,8,5,20.5
jordan poole,points,20.5,11,8,1,0.0
jordan poole,points,20.5,13,4,1,0.0
jordan poole,points,20.5,31,7,4,20.5
jordan poole,points,20.5,8,3,0,0.0
jordan poole,points,20.5,23,8,2,20.5
jordan poole,points,20.5,8,5,4,0.0
jordan poole,points,20.5,22,5,1,20.5
jordan poole,points,20.5,22,6,5,20.5
jordan poole,points,20.5,42,6,2,20.5
jordan poole,points,20.5,11,6,5,0.0
jordan poole,points,20.5,24,1,4,20.5
jordan poole,points,20.5,10,1,2,0.0
jordan poole,points,20.5,24,3,1,20.5
jordan poole,points,20.5,21,3,0,20.5
jordan poole,points,20.5,24,9,3,20.5
jordan poole,points,20.5,26,5,1,20.5
jordan poole,points,20.5,14,6,1,0.0
jordan poole,points,20.5,26,4,1,20.5
jordan poole,assists,4.5,16,4,3,0.0
jordan poole,assists,4.5,11,5,2,4.5
jordan poole,assists,4.5,42,5,5,4.5
jordan poole,assists,4.5,16,4,6,0.0
jordan poole,assists,4.5,21,6,5,4.5
jordan poole,assists,4.5,45,5,4,4.5
jordan poole,assists,4.5,19,8,3,4.5
jordan poole,assists,4.5,6,6,3,4.5
jordan poole,assists,4.5,19,3,4,0.0
jordan poole,assists,4.5,19,2,5,0.0
jordan poole,assists,4.5,3,2,0,0.0
jordan poole,assists,4.5,15,6,6,4.5
jordan poole,assists,4.5,19,10,4,4.5
jordan poole,assists,4.5,24,9,2,4.5
jordan poole,assists,4.5,15,3,7,0.0
jordan poole,assists,4.5,11,3,1,0.0
jordan poole,assists,4.5,38,5,5,4.5
jordan poole,assists,4.5,18,4,4,0.0
jordan poole,assists,4.5,20,4,7,0.0
jordan poole,assists,4.5,13,4,3,0.0
jordan poole,assists,4.5,22,2,2,0.0
jordan poole,assists,4.5,26,7,4,4.5
jordan poole,assists,4.5,30,2,3,0.0
jordan poole,assists,4.5,25,3,6,0.0
jordan poole,assists,4.5,31,7,3,4.5
jordan poole,assists,4.5,26,3,5,0.0
jordan poole,assists,4.5,27,4,3,0.0
jordan poole,assists,4.5,21,7,3,4.5
jordan poole,assists,4.5,17,6,5,4.5
jordan poole,assists,4.5,9,2,1,0.0
jordan poole,assists,4.5,39,8,5,4.5
jordan poole,assists,4.5,11,8,1,4.5
jordan poole,assists,4.5,13,4,1,0.0
jordan poole,assists,4.5,31,7,4,4.5
jordan poole,assists,4.5,8,3,0,0.0
jordan poole,assists,4.5,23,8,2,4.5
jordan poole,assists,4.5,8,5,4,4.5
jordan poole,assists,4.5,22,5,1,4.5
jordan poole,assists,4.5,22,6,5,4.5
jordan poole,assists,4.5,42,6,2,4.5
jordan poole,assists,4.5,11,6,5,4.5
jordan poole,assists,4.5,24,1,4,0.0
jordan poole,assists,4.5,10,1,2,0.0
jordan poole,assists,4.5,24,3,1,0.0
jordan poole,assists,4.5,21,3,0,0.0
jordan poole,assists,4.5,24,9,3,4.5
jordan poole,assists,4.5,26,5,1,4.5
jordan poole,assists,4.5,14,6,1,4.5
jordan poole,assists,4.5,26,4,1,0.0
