Player,Current Team,Opponent Team,Home Team,Away Team,Stat Type,Prop Line
LeBron James,LAL,CHA,CHA,LAL,pts_rebs_asts,39.5
LeBron James,LAL,CHA,CHA,LAL,period_1_points,5.5
LeBron James,LAL,CHA,CHA,LAL,rebounds,7.5
LeBron James,LAL,CHA,CHA,LAL,assists,7.5
LaMelo Ball,CHA,LAL,CHA,LAL,points,24.5
LaMelo Ball,CHA,LAL,CHA,LAL,pts_rebs_asts,34.5
LaMelo Ball,CHA,LAL,CHA,LAL,period_1_points,5.5
LaMelo Ball,CHA,LAL,CHA,LAL,assists,6.5
Miles Bridges,CHA,LAL,CHA,LAL,points,23.5
Miles Bridges,CHA,LAL,CHA,LAL,pts_rebs_asts,35.5
Miles Bridges,CHA,LAL,CHA,LAL,rebounds,7.5
Miles Bridges,CHA,LAL,CHA,LAL,assists,4.5
Josh Green,CHA,LAL,CHA,LAL,points,7.5
Josh Green,CHA,LAL,CHA,LAL,pts_rebs_asts,11.5
Josh Green,CHA,LAL,CHA,LAL,rebounds,2.5
Josh Green,CHA,LAL,CHA,LAL,period_1_points,1.5
Jaxson Hayes,LAL,CHA,CHA,LAL,points,8.5
Jaxson Hayes,LAL,CHA,CHA,LAL,pts_rebs_asts,15.5
Jaxson Hayes,LAL,CHA,CHA,LAL,rebounds,5.5
Jaxson Hayes,LAL,CHA,CHA,LAL,period_1_points,2.5
Luka Doncic,LAL,CHA,CHA,LAL,points,23.5
Luka Doncic,LAL,CHA,CHA,LAL,pts_rebs_asts,36.5
Luka Doncic,LAL,CHA,CHA,LAL,period_1_points,5.5
Luka Doncic,LAL,CHA,CHA,LAL,assists,6.5
Austin Reaves,LAL,CHA,CHA,LAL,points,19.5
Austin Reaves,LAL,CHA,CHA,LAL,pts_rebs_asts,30.5
Austin Reaves,LAL,CHA,CHA,LAL,period_1_points,5.5
Austin Reaves,LAL,CHA,CHA,LAL,assists,5.5
Rui Hachimura,LAL,CHA,CHA,LAL,points,15.5
Rui Hachimura,LAL,CHA,CHA,LAL,pts_rebs_asts,21.5
Rui Hachimura,LAL,CHA,CHA,LAL,period_1_points,4.5
Rui Hachimura,LAL,CHA,CHA,LAL,assists,0.5
Nick Smith Jr.,CHA,LAL,CHA,LAL,points,14.5
Nick Smith Jr.,CHA,LAL,CHA,LAL,pts_rebs_asts,21.0
