player_name,target,games_tested,rnn_tft_mae,baseline_mae,improvement_pct,baseline_wins,rnn_tft_wins,rnn_tft_errors
Mikal Bridges,PTS,82,6.290878232287736,9.487804878048781,33.695113747095846,"{'Season_Avg': 15, 'Best_5_Avg': 18, 'Median_5': 6, 'Median_10': 4, 'Last_Game': 6, 'MA_10': 6, 'Linear_Trend': 8, 'EMA': 3, 'WMA_5': 2, 'Median_7': 2, 'MA_5': 2, 'MA_7': 3, 'MA_3': 3}",4,"[np.float64(2.4924825617519204), np.float64(6.8158241026508914), np.float64(2.6041045418801723), np.float64(1.1015196922270185), np.float64(3.7811016301784868), np.float64(3.1964687693939737), np.float64(7.576203553087026), np.float64(1.2520440341120054), np.float64(8.030337470541696), np.float64(0.87542816858282), np.float64(4.876874735840811), np.float64(6.05694192733654), np.float64(2.905168694556547), np.float64(5.678178359251607), np.float64(2.9219793706211377), np.float64(11.086947262570032), np.float64(2.186935035911265), np.float64(4.507711667084845), np.float64(8.039494411288604), np.float64(15.098453890249695), np.float64(0.337672401487481), np.float64(0.7276427565213588), np.float64(0.9726765750883501), np.float64(3.0586826934731945), np.float64(1.658094988348438), np.float64(3.938166402235229), np.float64(8.577244088354394), np.float64(3.0587603170231077), np.float64(6.930593039458834), np.float64(20.836206443509575), np.float64(5.888637880675262), np.float64(1.6907550621489094), np.float64(10.265720779728813), np.float64(6.787459133822047), np.float64(1.8321797802779969), np.float64(4.596145260440139), np.float64(0.9068514789174209), np.float64(12.999410861519074), np.float64(21.957073567897634), np.float64(13.01554605835469), np.float64(10.359792600592233), np.float64(4.693773214713691), np.float64(5.186770312001766), np.float64(4.2586823567678564), np.float64(13.10247265978219), np.float64(6.352309949292273), np.float64(5.231069762430508), np.float64(10.59597502372877), np.float64(7.199347750594264), np.float64(1.9161535066609154), np.float64(4.205991450878187), np.float64(9.265740666525176), np.float64(13.56501955282241), np.float64(6.585034428772744), np.float64(3.0980953904393047), np.float64(2.6754782980700575), np.float64(2.9783368205475256), np.float64(10.843802232040481), np.float64(4.416971552175266), np.float64(14.11385178584844), np.float64(2.9254107182704914), np.float64(10.109327155090654), np.float64(7.620790898888549), np.float64(1.6044016495025097), np.float64(16.47009965877846), np.float64(0.7411674057416491), np.float64(7.647268277052987), np.float64(9.029182004382022), np.float64(4.567903219864736), np.float64(6.558810656420455), np.float64(0.19285170757136783), np.float64(5.356198478150375), np.float64(4.486477770889696), np.float64(5.722183889466422), np.float64(10.33711858290167), np.float64(15.064665556916854), np.float64(0.48546906644475385), np.float64(2.0552208385274042), np.float64(7.001394737044514), np.float64(3.8529570231052155), np.float64(2.7609871665784027), np.float64(19.497739822922096)]"
Buddy Hield,PTS,82,6.673414896398741,6.0,-11.223581606645688,"{'Last_Game': 11, 'Linear_Trend': 12, 'Median_10': 7, 'MA_3': 5, 'Season_Avg': 16, 'MA_5': 2, 'WMA_5': 2, 'EMA': 2, 'Median_7': 4, 'Median_5': 9, 'MA_10': 3, 'Best_5_Avg': 3, 'MA_7': 2}",4,"[np.float64(8.032392347906734), np.float64(10.64289613463151), np.float64(11.808120167188594), np.float64(9.369588560234142), np.float64(0.32939984277158985), np.float64(6.29733148271043), np.float64(3.9837438829364586), np.float64(6.157453927250575), np.float64(18.678970255559022), np.float64(10.880371967895396), np.float64(3.6170042474431057), np.float64(1.3712724826712872), np.float64(9.986156785695616), np.float64(6.037637758239544), np.float64(5.086960777295111), np.float64(5.739049825906751), np.float64(7.7572836931583815), np.float64(0.943487155314596), np.float64(5.326453637288907), np.float64(9.584621223081417), np.float64(9.791662557758444), np.float64(8.330257984470075), np.float64(16.565363510238278), np.float64(1.501880322211031), np.float64(5.710129321855268), np.float64(6.28343625874809), np.float64(2.4043676608782487), np.float64(0.05619404129188332), np.float64(8.726102132406156), np.float64(7.824383994695495), np.float64(11.697231857978366), np.float64(8.193051715363321), np.float64(6.673244928068893), np.float64(5.291206589594966), np.float64(3.4182200074153233), np.float64(0.171836417072889), np.float64(6.488806074150993), np.float64(2.8430498935976196), np.float64(7.2823044781739945), np.float64(3.831924828059705), np.float64(9.443600021995309), np.float64(7.880568070068094), np.float64(4.475004209160016), np.float64(10.23502507192335), np.float64(1.76180990880823), np.float64(10.271376360695655), np.float64(5.684384867520501), np.float64(2.4158350347402546), np.float64(7.369776871013272), np.float64(6.74592663505895), np.float64(1.2493629858545425), np.float64(0.7267743642243776), np.float64(0.06165922641285526), np.float64(12.816295813916405), np.float64(12.370092143724625), np.float64(9.39476515494032), np.float64(11.120875306269038), np.float64(3.42770467954122), np.float64(10.851454836402233), np.float64(5.2188999599631725), np.float64(10.248184488661282), np.float64(1.6135231057059194), np.float64(16.347904883513927), np.float64(5.183336229159082), np.float64(7.301186918755361), np.float64(1.6667822870279654), np.float64(13.616506882484174), np.float64(13.006529177269575), np.float64(2.7273607515324354), np.float64(5.579202452539153), np.float64(8.391189652277292), np.float64(2.422632965056808), np.float64(1.1876294550567987), np.float64(6.164212256946243), np.float64(7.06956022463655), np.float64(14.700352575478675), np.float64(7.35003184011474), np.float64(9.36562970665961), np.float64(5.757318039934207), np.float64(0.8719922502396216), np.float64(2.8568963019437827), np.float64(5.556016808262854)]"
Royce O'Neale,PTS,75,5.079593579300161,4.76,-6.714150825633634,"{'Median_10': 6, 'WMA_5': 6, 'Last_Game': 9, 'Best_5_Avg': 8, 'Median_5': 7, 'Linear_Trend': 8, 'Median_7': 4, 'Season_Avg': 8, 'MA_10': 5, 'MA_3': 5, 'MA_5': 2, 'MA_7': 1, 'EMA': 2}",4,"[np.float64(4.77079828125323), np.float64(1.2275392501008184), np.float64(1.3090323705578246), np.float64(3.46296924999902), np.float64(11.671374534338986), np.float64(8.139909624285675), np.float64(4.082699269083738), np.float64(6.258562812914848), np.float64(7.193547183459369), np.float64(5.00753595786623), np.float64(2.380263612111058), np.float64(6.462617843095524), np.float64(1.1743646491855362), np.float64(3.5510230220862358), np.float64(8.022030028620533), np.float64(7.501755630007432), np.float64(1.5831908638394445), np.float64(3.356503983417216), np.float64(0.6199076328113442), np.float64(1.2425984632483118), np.float64(8.182681932861353), np.float64(10.46765818755394), np.float64(1.6193020473532211), np.float64(1.2559470940905335), np.float64(3.3507917959373543), np.float64(6.5014069542114115), np.float64(3.300377411782902), np.float64(7.271279060381596), np.float64(6.900549676614309), np.float64(2.827855431325407), np.float64(11.856220624835881), np.float64(1.3836890292018538), np.float64(8.766976733935723), np.float64(0.3338082259739572), np.float64(5.729110971844502), np.float64(9.878958726529941), np.float64(6.008308619276489), np.float64(4.067749306667675), np.float64(4.32939934012333), np.float64(3.3191064534353805), np.float64(1.2988239579932852), np.float64(2.553533887177884), np.float64(7.1590953258367485), np.float64(9.331370094784269), np.float64(1.6301361206136846), np.float64(3.1280464313550436), np.float64(0.42406104886969764), np.float64(2.69648202737436), np.float64(15.216415426624422), np.float64(12.471299459888074), np.float64(8.150454685516086), np.float64(2.143932922313809), np.float64(4.448979525906502), np.float64(7.789334177617713), np.float64(11.82831524355928), np.float64(1.4055775225626412), np.float64(5.5957105956092015), np.float64(4.3259762137915665), np.float64(1.5526044024908838), np.float64(7.8368217058040255), np.float64(0.37820990096508567), np.float64(0.30464429592482034), np.float64(0.2228757801236121), np.float64(6.362459097037847), np.float64(5.221022772040049), np.float64(7.845284749152464), np.float64(9.820797382398878), np.float64(12.333720716159421), np.float64(4.094229991900429), np.float64(2.3744621530043144), np.float64(5.898951104466178), np.float64(6.182922957225511), np.float64(2.311558774705105), np.float64(6.870293201834249), np.float64(3.39171290866566)]"
Harrison Barnes,PTS,82,5.8157565392886745,5.339024390243902,-8.92919968516933,"{'MA_3': 6, 'Median_10': 8, 'Best_5_Avg': 6, 'Linear_Trend': 11, 'Last_Game': 8, 'MA_10': 8, 'Median_5': 7, 'MA_5': 2, 'MA_7': 5, 'Season_Avg': 8, 'Median_7': 4, 'WMA_5': 3, 'EMA': 2}",4,"[np.float64(0.6701813319965844), np.float64(6.027292505339464), np.float64(14.530806056487737), np.float64(3.722910737084371), np.float64(7.624305532428828), np.float64(0.05000615146367693), np.float64(11.333348656348804), np.float64(10.465988568838638), np.float64(0.7229421622234256), np.float64(1.501447933722071), np.float64(2.7228497158774427), np.float64(3.307863705363811), np.float64(5.486276914183939), np.float64(8.875451328494995), np.float64(8.138928730438197), np.float64(11.920080010080051), np.float64(7.046133138267173), np.float64(10.46303150819936), np.float64(1.5702242535468187), np.float64(9.625695101686663), np.float64(14.009599244962576), np.float64(5.561612773472113), np.float64(4.434153562979889), np.float64(4.725295028615257), np.float64(3.4651864321174344), np.float64(3.2362549916940893), np.float64(9.430293853518693), np.float64(5.4999254061342615), np.float64(14.47522204815004), np.float64(9.44342001887735), np.float64(2.107868805859958), np.float64(13.832988948819423), np.float64(2.219715305150034), np.float64(5.986207051839887), np.float64(8.393112299415337), np.float64(4.446906708100926), np.float64(0.4440896725150125), np.float64(1.8581473077744608), np.float64(5.519197665934426), np.float64(1.7644391882003987), np.float64(5.24651339858155), np.float64(5.862444425120085), np.float64(9.45501252446253), np.float64(2.6245477397789827), np.float64(2.488269935130379), np.float64(6.201402450523741), np.float64(12.982559961527304), np.float64(2.149966135074525), np.float64(6.473975620641987), np.float64(7.369362804909169), np.float64(3.465750926492431), np.float64(1.5131260145029621), np.float64(8.286808739076935), np.float64(14.567490384775079), np.float64(0.5697315135955261), np.float64(1.798736310452922), np.float64(11.435050718400966), np.float64(8.353022011785486), np.float64(2.854988154411755), np.float64(3.3198926631585657), np.float64(0.3951135999998243), np.float64(1.6655372648538282), np.float64(15.173197840049879), np.float64(2.9873187117921702), np.float64(7.352690054657753), np.float64(2.752742224314659), np.float64(8.633974584238654), np.float64(3.8473042531292165), np.float64(0.3373293998772624), np.float64(3.8347507379140495), np.float64(4.875140750351246), np.float64(3.820119307416036), np.float64(0.39291872970098574), np.float64(7.673625996757279), np.float64(10.577400309244261), np.float64(4.6963778827873774), np.float64(6.334590465403515), np.float64(2.9927828848226277), np.float64(4.86463040661798), np.float64(0.9793261291388689), np.float64(18.563703112759683), np.float64(0.4634087872376007)]"
Kentavious Caldwell-Pope,PTS,77,5.0679899211779675,4.961038961038961,-2.1558177829066825,"{'MA_3': 8, 'MA_10': 4, 'Linear_Trend': 5, 'Median_5': 10, 'Median_10': 5, 'MA_7': 5, 'Season_Avg': 6, 'MA_5': 6, 'Last_Game': 9, 'Median_7': 3, 'EMA': 1, 'WMA_5': 1, 'Best_5_Avg': 9}",5,"[np.float64(8.428299500128345), np.float64(0.6180423483490944), np.float64(8.502255841776071), np.float64(5.875960235748147), np.float64(1.892133402029664), np.float64(2.729925433065965), np.float64(3.578786236907032), np.float64(4.92278650040676), np.float64(3.000190551860971), np.float64(3.738654270260602), np.float64(2.3368273791546024), np.float64(3.3587369824547153), np.float64(1.4796357378155083), np.float64(1.0699848550194275), np.float64(0.30317815748065513), np.float64(7.47218330142908), np.float64(0.3671184673032375), np.float64(5.422512150959847), np.float64(16.202529473668836), np.float64(7.984970576099196), np.float64(3.42319829884517), np.float64(6.313539901573318), np.float64(7.071861157948312), np.float64(10.989905079770523), np.float64(2.1215107888933638), np.float64(2.8005298628393565), np.float64(5.478460450077929), np.float64(1.1470816406074054), np.float64(13.531170494299854), np.float64(5.211770113269509), np.float64(2.6053281294012756), np.float64(4.138054394154185), np.float64(7.756000411584559), np.float64(8.681455711441634), np.float64(1.6876868106735614), np.float64(11.624119514901357), np.float64(2.5057768329464842), np.float64(0.2594357306573425), np.float64(10.451049695161048), np.float64(5.053230567410939), np.float64(6.659474840477511), np.float64(1.6264302343448946), np.float64(8.335678430076525), np.float64(6.829290356260131), np.float64(5.719256145556143), np.float64(5.870379178476217), np.float64(6.603687634292738), np.float64(1.1735480364319972), np.float64(2.593383712649672), np.float64(3.05955298806556), np.float64(6.932339834592392), np.float64(3.423919582952376), np.float64(6.759161765670958), np.float64(1.724745982568944), np.float64(0.9424893461430095), np.float64(3.442061211228946), np.float64(0.20817856220472386), np.float64(8.942575666116369), np.float64(4.856258083223465), np.float64(3.4925443022721687), np.float64(9.538970103472277), np.float64(3.300982443160141), np.float64(11.96891512839185), np.float64(1.2340597099115467), np.float64(4.516766719114903), np.float64(1.632125149825269), np.float64(1.1170909011298207), np.float64(3.20635548511353), np.float64(8.629579531431931), np.float64(10.789343960044995), np.float64(1.5613449064274558), np.float64(1.9625314577557198), np.float64(12.968618173298285), np.float64(0.04610661939485716), np.float64(1.0299545331391062), np.float64(15.072538304178561), np.float64(10.329107922933582)]"
Nikola Jokić,PTS,70,7.887227382367595,7.814285714285714,-0.9334399937352184,"{'Linear_Trend': 8, 'Best_5_Avg': 10, 'Last_Game': 6, 'MA_7': 6, 'Season_Avg': 16, 'MA_3': 4, 'Median_7': 3, 'MA_5': 3, 'Median_10': 2, 'MA_10': 2, 'Median_5': 4, 'WMA_5': 2}",4,"[np.float64(12.5725629941609), np.float64(14.891825880128916), np.float64(11.451464551502067), np.float64(3.0540713053952047), np.float64(7.835116758141702), np.float64(5.195263096378483), np.float64(3.5003809939433275), np.float64(8.079573671418967), np.float64(1.2373971377212634), np.float64(6.589779615928428), np.float64(1.7128591988601016), np.float64(0.9944876378586329), np.float64(12.27823570549377), np.float64(1.7271387313545574), np.float64(3.4707105565661927), np.float64(7.548680933240089), np.float64(5.6293737616312995), np.float64(24.930771759197718), np.float64(12.952113378210363), np.float64(21.96441073925139), np.float64(16.964551270704618), np.float64(2.095820222048328), np.float64(5.585095090585227), np.float64(0.8537579357113891), np.float64(8.017289741261934), np.float64(4.5603053032727345), np.float64(4.928804138978897), np.float64(2.658851392603978), np.float64(12.448472118941787), np.float64(7.610842889741342), np.float64(10.071023744620334), np.float64(3.056733275540637), np.float64(19.95525140911093), np.float64(24.914500407799736), np.float64(7.154347385384206), np.float64(8.033276664222356), np.float64(0.07792611062813393), np.float64(6.95106341351601), np.float64(9.906666225716258), np.float64(2.712922252201672), np.float64(14.780216533150359), np.float64(1.7040392674278841), np.float64(2.2150852808583394), np.float64(2.758585022326919), np.float64(7.167983078609353), np.float64(3.362443739699753), np.float64(4.860814932073474), np.float64(10.139727959396762), np.float64(4.969516210056383), np.float64(1.4110838457885606), np.float64(18.58816364046085), np.float64(9.56932236763959), np.float64(5.234711675903242), np.float64(3.8581390203953205), np.float64(7.642987362482767), np.float64(4.681271347281083), np.float64(4.837854763182747), np.float64(3.514148131396137), np.float64(6.753445142663388), np.float64(4.241314421329619), np.float64(2.5931882628791634), np.float64(8.243194621373334), np.float64(5.4991750925834), np.float64(7.413898866806825), np.float64(27.37238872918489), np.float64(5.147725889074323), np.float64(3.4434563700653484), np.float64(19.467990812545885), np.float64(8.776943856399498), np.float64(15.683381123722619)]"
DeMar DeRozan,PTS,77,6.926045397227275,9.389610389610391,26.237137539903166,"{'Season_Avg': 11, 'Last_Game': 12, 'Linear_Trend': 8, 'MA_10': 4, 'Best_5_Avg': 9, 'MA_7': 5, 'EMA': 2, 'WMA_5': 2, 'Median_5': 5, 'MA_3': 5, 'Median_10': 8, 'Median_7': 2, 'MA_5': 2}",2,"[np.float64(5.395572756612893), np.float64(7.6942017334045545), np.float64(5.933592667825067), np.float64(7.623401559934912), np.float64(0.8513268389187978), np.float64(6.207764113201396), np.float64(1.993062334045856), np.float64(2.085077778851403), np.float64(16.252494922260297), np.float64(6.778107743211283), np.float64(7.239108488982598), np.float64(25.53478493641689), np.float64(9.183672454878959), np.float64(4.401489556068999), np.float64(8.452303723175952), np.float64(3.921941693092382), np.float64(9.77221148870171), np.float64(0.8834845286167514), np.float64(2.9992848835417796), np.float64(8.250308874714165), np.float64(3.574429127115579), np.float64(8.748943680771905), np.float64(14.738007585160737), np.float64(10.537432065119585), np.float64(18.831140327815064), np.float64(0.8404263098441618), np.float64(6.431726835827327), np.float64(6.478078389295078), np.float64(3.530792640639479), np.float64(6.714871655069928), np.float64(11.405923404691322), np.float64(7.897670661219461), np.float64(0.013962667352256375), np.float64(3.45492359065312), np.float64(3.0893993437060985), np.float64(7.299407156621367), np.float64(3.965443068484344), np.float64(4.881326120147591), np.float64(5.044228357605885), np.float64(9.527516977013676), np.float64(8.982113853442627), np.float64(5.422206705453171), np.float64(5.9983211738722275), np.float64(10.331982009352636), np.float64(6.031338502500173), np.float64(2.68319252566711), np.float64(14.29255342733606), np.float64(19.26853101855233), np.float64(2.597746926601104), np.float64(6.82873894660635), np.float64(6.590967519150958), np.float64(8.905921633102288), np.float64(7.54616328453853), np.float64(3.9079580295139493), np.float64(3.4480792390053843), np.float64(11.718430678794078), np.float64(4.2409446029257545), np.float64(4.318299805556499), np.float64(17.273518092883947), np.float64(2.2706949466416297), np.float64(2.7003654740980316), np.float64(2.8953998090517565), np.float64(1.029018602452627), np.float64(3.3901344561756943), np.float64(4.1865426182768495), np.float64(5.755616965119803), np.float64(14.271560400293911), np.float64(1.5644687483031454), np.float64(1.388929648030608), np.float64(8.42166431906523), np.float64(3.969407774168225), np.float64(3.5823290034309245), np.float64(1.9476447498650309), np.float64(10.617909536712713), np.float64(6.6133914807504794), np.float64(12.090769290579772), np.float64(17.763796748018095)]"
Georges Niang,PTS,79,5.109754855316466,4.488607594936709,-13.838306139312136,"{'Linear_Trend': 10, 'Season_Avg': 19, 'Last_Game': 5, 'MA_3': 4, 'Median_5': 4, 'MA_10': 2, 'Best_5_Avg': 19, 'Median_7': 1, 'MA_5': 6, 'MA_7': 4, 'Median_10': 4}",1,"[np.float64(1.1829611864864056), np.float64(9.72803572483177), np.float64(8.620101369711524), np.float64(4.826344740685606), np.float64(3.731149654900989), np.float64(1.3859329333058046), np.float64(5.587910650967872), np.float64(1.7616460015310071), np.float64(1.0353059825807858), np.float64(1.6764359512754368), np.float64(1.180237269727927), np.float64(3.132277263360013), np.float64(1.7176888816699982), np.float64(4.362976524250058), np.float64(2.431933860095839), np.float64(0.052861924827819706), np.float64(8.542939977744206), np.float64(10.813689844977114), np.float64(3.569734303817391), np.float64(7.848015512024475), np.float64(4.207850439949835), np.float64(3.838641968294114), np.float64(6.013111078836964), np.float64(8.107149421137152), np.float64(5.7813697041996015), np.float64(1.192384021846122), np.float64(5.636283064962404), np.float64(8.111470174472762), np.float64(1.224682329667944), np.float64(4.538164314883451), np.float64(8.384385116609094), np.float64(7.705419104161885), np.float64(0.7745993662332147), np.float64(6.008638475464702), np.float64(0.5365115682534345), np.float64(8.608777568328295), np.float64(2.558141753695512), np.float64(2.788497316028348), np.float64(2.3933969119183107), np.float64(4.626011135187536), np.float64(6.238019772801538), np.float64(1.9047931267572586), np.float64(1.5711623345721044), np.float64(5.110270600728784), np.float64(12.457652757227768), np.float64(7.852679910557489), np.float64(4.741078019510928), np.float64(1.5965389174739286), np.float64(2.2504057376896505), np.float64(6.350330979052423), np.float64(3.814865376617117), np.float64(5.469600680573318), np.float64(3.210703180491107), np.float64(9.520615195719504), np.float64(5.266475153239636), np.float64(14.56157251245893), np.float64(5.050913271400091), np.float64(7.737543009703177), np.float64(0.3335544019679393), np.float64(4.934050082581475), np.float64(11.662358102337985), np.float64(8.589989746978203), np.float64(4.564632904432187), np.float64(3.3348416569998953), np.float64(14.29975806653139), np.float64(1.6922062526937616), np.float64(6.890917515859698), np.float64(10.851883409923788), np.float64(5.054321566954522), np.float64(3.9335782291812436), np.float64(11.527825808682817), np.float64(3.117452260146038), np.float64(11.802491627454236), np.float64(6.877135529678142), np.float64(1.1431611722293944), np.float64(5.583621956222958), np.float64(1.785720983168515), np.float64(0.39402096869904923), np.float64(4.368226397800157)]"
Tobias Harris,PTS,73,5.238875285182742,5.5479452054794525,5.570889921397504,"{'MA_3': 8, 'Last_Game': 5, 'Linear_Trend': 13, 'Season_Avg': 14, 'Median_7': 3, 'EMA': 1, 'MA_10': 4, 'Median_10': 3, 'WMA_5': 3, 'Best_5_Avg': 5, 'Median_5': 5, 'MA_7': 2, 'MA_5': 1}",6,"[np.float64(6.01831872348054), np.float64(8.302460896339362), np.float64(8.835108423016305), np.float64(6.347068763930249), np.float64(3.474192553974735), np.float64(2.7723663583385125), np.float64(1.7854366784411653), np.float64(2.077673999093541), np.float64(3.27761277843193), np.float64(4.430133629094247), np.float64(9.011632493218332), np.float64(1.1872403406897192), np.float64(7.034635766693654), np.float64(4.802714203827895), np.float64(3.4465401993937395), np.float64(1.7389714945322954), np.float64(10.635757331283733), np.float64(9.349288936373448), np.float64(5.0993929553978), np.float64(0.3430967570988308), np.float64(12.006686686511546), np.float64(0.993860604098538), np.float64(11.523745337149995), np.float64(4.977703079417562), np.float64(9.471138215031996), np.float64(9.254979756383378), np.float64(5.2195555888370535), np.float64(7.7722242669693955), np.float64(9.595521010872837), np.float64(5.720679056959728), np.float64(4.739892503860666), np.float64(10.11952350997263), np.float64(0.3991075296381066), np.float64(0.8395851464881119), np.float64(9.720998270348126), np.float64(4.218488112357473), np.float64(0.25014628148590035), np.float64(6.004447384949032), np.float64(5.641049407841983), np.float64(6.219931557208438), np.float64(12.28515171884132), np.float64(5.959408696643187), np.float64(12.581661161375093), np.float64(10.393463874114254), np.float64(7.540482070290839), np.float64(4.0329913797272035), np.float64(0.9762181086127928), np.float64(5.0071105101982525), np.float64(10.551203923701838), np.float64(4.539057431826919), np.float64(1.5639225238248642), np.float64(1.1555433283754049), np.float64(0.8559413766135648), np.float64(2.343655538120853), np.float64(9.008267822572147), np.float64(0.7751154877790043), np.float64(3.6465222474676473), np.float64(6.739507316885653), np.float64(0.08219791482177641), np.float64(2.9120193146742253), np.float64(2.2198459246520343), np.float64(6.744546613207419), np.float64(4.0142210220721815), np.float64(0.6101659942265876), np.float64(8.305266860850434), np.float64(3.6250555636872654), np.float64(7.008475761367528), np.float64(1.0597520768354691), np.float64(0.42381519491674524), np.float64(5.628429013418112), np.float64(1.4386727098488876), np.float64(1.271526411145901), np.float64(12.479774336612149)]"
Rudy Gobert,PTS,72,4.8713879677940986,7.83888888888889,37.85614215429216,"{'Season_Avg': 12, 'Last_Game': 10, 'MA_5': 6, 'Linear_Trend': 9, 'Best_5_Avg': 7, 'Median_5': 5, 'Median_10': 3, 'MA_7': 4, 'MA_10': 5, 'EMA': 1, 'MA_3': 4, 'Median_7': 4}",2,"[np.float64(6.692632418496746), np.float64(16.220768026566848), np.float64(1.1638257940875292), np.float64(8.473894789298594), np.float64(2.673945993717391), np.float64(6.0637017112639064), np.float64(6.634064019281391), np.float64(6.581790120036246), np.float64(7.499329551988517), np.float64(8.255860413736293), np.float64(5.200346517892715), np.float64(0.964210090372605), np.float64(2.172817883148573), np.float64(2.9792209620932617), np.float64(0.9130381282865017), np.float64(3.4923813472389345), np.float64(8.603104025348182), np.float64(3.5146848278951346), np.float64(3.6704272416728205), np.float64(5.800936631983856), np.float64(4.503218880675307), np.float64(4.826802958126365), np.float64(9.583749700657231), np.float64(0.5528300586990014), np.float64(2.5122052993051494), np.float64(8.543915770907564), np.float64(6.666951301110604), np.float64(10.336048047006264), np.float64(2.33942667599727), np.float64(5.867797534081241), np.float64(5.617374097952183), np.float64(6.213534126935402), np.float64(6.5637970454339545), np.float64(6.4317337306966795), np.float64(2.826422544379991), np.float64(3.8594723027966467), np.float64(1.001584020759024), np.float64(0.9455308401027516), np.float64(0.5639275810921092), np.float64(5.431189401381419), np.float64(1.0068875316687116), np.float64(4.766800005961365), np.float64(8.841125288965834), np.float64(1.621260602692585), np.float64(1.377763267126591), np.float64(4.990772082559536), np.float64(10.787303907739107), np.float64(2.341114811030007), np.float64(1.896313239812649), np.float64(4.4782499407309935), np.float64(6.7039691893474185), np.float64(2.7616970088815975), np.float64(0.508456005255665), np.float64(2.9774929984761105), np.float64(4.932484682752046), np.float64(0.09150986966509222), np.float64(5.398936486847866), np.float64(3.91879038948019), np.float64(7.716312872862332), np.float64(10.637239910128043), np.float64(2.631850466283895), np.float64(2.8832477072703337), np.float64(3.0044032017744904), np.float64(2.6755890999617815), np.float64(2.8533912984623733), np.float64(1.967998031197645), np.float64(2.891235446428329), np.float64(3.877182287787644), np.float64(13.833678336821198), np.float64(4.867103370704541), np.float64(18.09801640798351), np.float64(0.6432655220133512)]"
