SEASON,MONTH,YEAR,DATE_FROM,DATE_TO,TEAM_ABBREVIATION,TEAM_NAME,GP,W,L,W_PCT,OFF_RATING,DEF_RATING,NET_RATING,PACE,AST_RATIO,REB_PCT
2018-19,October,2018,10/01/2018,10/31/2018,ATL,Atlanta Hawks,7,2,5,0.286,100.1,107.5,-7.4,108.5,17.0,0.464
2018-19,October,2018,10/01/2018,10/31/2018,BOS,Boston Celtics,7,5,2,0.714,100.8,96.2,4.6,101.5,16.7,0.506
2018-19,October,2018,10/01/2018,10/31/2018,BKN,Brooklyn Nets,8,3,5,0.375,108.0,111.4,-3.4,99.15,17.9,0.487
2018-19,October,2018,10/01/2018,10/31/2018,CHA,Charlotte Hornets,8,4,4,0.5,114.9,109.1,5.8,100.44,17.7,0.492
2018-19,October,2018,10/01/2018,10/31/2018,CHI,Chicago Bulls,8,2,6,0.25,108.0,116.5,-8.5,100.38,17.4,0.473
2018-19,October,2018,10/01/2018,10/31/2018,CLE,Cleveland Cavaliers,7,1,6,0.143,108.9,116.5,-7.6,101.07,15.1,0.517
2018-19,October,2018,10/01/2018,10/31/2018,DAL,Dallas Mavericks,8,2,6,0.25,106.6,111.6,-5.0,103.16,16.7,0.513
2018-19,October,2018,10/01/2018,10/31/2018,DEN,Denver Nuggets,7,6,1,0.857,109.3,102.1,7.2,101.77,17.2,0.54
2018-19,October,2018,10/01/2018,10/31/2018,DET,Detroit Pistons,7,4,3,0.571,107.6,108.7,-1.1,100.37,13.8,0.523
2018-19,October,2018,10/01/2018,10/31/2018,GSW,Golden State Warriors,9,8,1,0.889,120.3,107.5,12.9,104.0,20.9,0.511
2018-19,October,2018,10/01/2018,10/31/2018,HOU,Houston Rockets,6,1,5,0.167,103.9,113.5,-9.6,102.17,15.2,0.464
2018-19,October,2018,10/01/2018,10/31/2018,IND,Indiana Pacers,8,5,3,0.625,112.1,105.5,6.6,97.13,17.6,0.492
2018-19,October,2018,10/01/2018,10/31/2018,LAC,LA Clippers,7,4,3,0.571,110.5,105.5,5.1,104.57,15.7,0.505
2018-19,October,2018,10/01/2018,10/31/2018,LAL,Los Angeles Lakers,8,3,5,0.375,112.4,112.5,-0.1,106.24,17.8,0.489
2018-19,October,2018,10/01/2018,10/31/2018,MEM,Memphis Grizzlies,6,4,2,0.667,104.9,101.5,3.4,98.67,17.6,0.479
2018-19,October,2018,10/01/2018,10/31/2018,MIA,Miami Heat,7,3,4,0.429,108.9,107.6,1.3,102.71,15.3,0.536
2018-19,October,2018,10/01/2018,10/31/2018,MIL,Milwaukee Bucks,7,7,0,1.0,113.2,98.2,15.0,106.0,18.5,0.534
2018-19,October,2018,10/01/2018,10/31/2018,MIN,Minnesota Timberwolves,8,4,4,0.5,111.4,114.2,-2.8,103.94,16.1,0.487
2018-19,October,2018,10/01/2018,10/31/2018,NOP,New Orleans Pelicans,7,4,3,0.571,114.3,113.3,1.0,106.71,18.2,0.513
2018-19,October,2018,10/01/2018,10/31/2018,NYK,New York Knicks,8,2,6,0.25,105.2,109.8,-4.6,100.56,14.3,0.51
2018-19,October,2018,10/01/2018,10/31/2018,OKC,Oklahoma City Thunder,6,2,4,0.333,102.4,105.0,-2.7,106.08,14.0,0.508
2018-19,October,2018,10/01/2018,10/31/2018,ORL,Orlando Magic,7,2,5,0.286,99.4,109.6,-10.2,101.07,17.7,0.489
2018-19,October,2018,10/01/2018,10/31/2018,PHI,Philadelphia 76ers,8,4,4,0.5,106.3,107.5,-1.2,104.39,18.4,0.511
2018-19,October,2018,10/01/2018,10/31/2018,PHX,Phoenix Suns,7,1,6,0.143,101.4,115.5,-14.1,102.14,18.3,0.481
2018-19,October,2018,10/01/2018,10/31/2018,POR,Portland Trail Blazers,7,5,2,0.714,113.9,106.4,7.5,101.14,14.7,0.532
2018-19,October,2018,10/01/2018,10/31/2018,SAC,Sacramento Kings,8,5,3,0.625,109.1,108.7,0.4,107.06,16.9,0.479
2018-19,October,2018,10/01/2018,10/31/2018,SAS,San Antonio Spurs,7,5,2,0.714,111.9,110.6,1.2,99.33,17.3,0.508
2018-19,October,2018,10/01/2018,10/31/2018,TOR,Toronto Raptors,8,7,1,0.875,114.5,106.7,7.8,102.31,18.1,0.495
2018-19,October,2018,10/01/2018,10/31/2018,UTA,Utah Jazz,7,4,3,0.571,111.0,106.4,4.6,102.86,17.0,0.526
2018-19,October,2018,10/01/2018,10/31/2018,WAS,Washington Wizards,7,1,6,0.143,104.4,114.3,-9.9,105.57,15.2,0.433
2018-19,November,2018,11/01/2018,11/30/2018,ATL,Atlanta Hawks,16,3,13,0.188,101.1,111.7,-10.6,106.0,17.0,0.472
2018-19,November,2018,11/01/2018,11/30/2018,BOS,Boston Celtics,15,7,8,0.467,109.5,105.9,3.5,99.62,18.2,0.499
2018-19,November,2018,11/01/2018,11/30/2018,BKN,Brooklyn Nets,15,5,10,0.333,109.6,110.2,-0.6,99.91,15.5,0.494
2018-19,November,2018,11/01/2018,11/30/2018,CHA,Charlotte Hornets,14,7,7,0.5,110.6,107.7,2.9,101.6,17.2,0.499
2018-19,November,2018,11/01/2018,11/30/2018,CHI,Chicago Bulls,15,3,12,0.2,97.5,107.0,-9.6,100.96,16.2,0.467
2018-19,November,2018,11/01/2018,11/30/2018,CLE,Cleveland Cavaliers,14,3,11,0.214,103.9,112.8,-8.8,95.82,14.6,0.501
2018-19,November,2018,11/01/2018,11/30/2018,DAL,Dallas Mavericks,12,8,4,0.667,110.4,104.5,6.0,99.46,16.3,0.517
2018-19,November,2018,11/01/2018,11/30/2018,DEN,Denver Nuggets,15,9,6,0.6,112.3,104.7,7.7,97.1,19.5,0.532
2018-19,November,2018,11/01/2018,11/30/2018,DET,Detroit Pistons,12,8,4,0.667,109.3,105.6,3.7,100.51,16.3,0.521
2018-19,November,2018,11/01/2018,11/30/2018,GSW,Golden State Warriors,14,7,7,0.5,110.6,111.1,-0.5,98.78,18.6,0.513
2018-19,November,2018,11/01/2018,11/30/2018,HOU,Houston Rockets,15,9,6,0.6,115.5,111.9,3.6,94.72,16.3,0.492
2018-19,November,2018,11/01/2018,11/30/2018,IND,Indiana Pacers,14,8,6,0.571,105.6,103.1,2.5,98.93,18.0,0.517
2018-19,November,2018,11/01/2018,11/30/2018,LAC,LA Clippers,14,11,3,0.786,114.3,109.1,5.3,101.45,16.1,0.504
2018-19,November,2018,11/01/2018,11/30/2018,LAL,Los Angeles Lakers,14,10,4,0.714,105.0,103.5,1.5,102.61,16.2,0.507
2018-19,November,2018,11/01/2018,11/30/2018,MEM,Memphis Grizzlies,15,9,6,0.6,107.7,106.3,1.4,95.32,18.2,0.472
2018-19,November,2018,11/01/2018,11/30/2018,MIA,Miami Heat,14,5,9,0.357,103.9,106.7,-2.8,102.1,15.8,0.494
2018-19,November,2018,11/01/2018,11/30/2018,MIL,Milwaukee Bucks,14,8,6,0.571,116.8,108.9,7.9,102.98,19.1,0.527
2018-19,November,2018,11/01/2018,11/30/2018,MIN,Minnesota Timberwolves,14,7,7,0.5,105.9,105.1,0.8,100.36,17.1,0.494
2018-19,November,2018,11/01/2018,11/30/2018,NOP,New Orleans Pelicans,16,7,9,0.438,111.5,110.6,0.9,103.75,17.9,0.532
2018-19,November,2018,11/01/2018,11/30/2018,NYK,New York Knicks,15,5,10,0.333,106.5,112.5,-5.9,101.06,13.3,0.501
2018-19,November,2018,11/01/2018,11/30/2018,OKC,Oklahoma City Thunder,15,12,3,0.8,110.3,100.3,10.0,101.5,16.5,0.522
2018-19,November,2018,11/01/2018,11/30/2018,ORL,Orlando Magic,16,9,7,0.563,109.4,108.1,1.2,98.91,19.6,0.479
2018-19,November,2018,11/01/2018,11/30/2018,PHI,Philadelphia 76ers,16,12,4,0.75,110.8,107.4,3.5,102.34,18.4,0.513
2018-19,November,2018,11/01/2018,11/30/2018,PHX,Phoenix Suns,15,3,12,0.2,103.2,110.8,-7.6,99.48,16.9,0.459
2018-19,November,2018,11/01/2018,11/30/2018,POR,Portland Trail Blazers,15,8,7,0.533,110.2,110.9,-0.6,100.57,15.1,0.519
2018-19,November,2018,11/01/2018,11/30/2018,SAC,Sacramento Kings,13,5,8,0.385,107.6,112.1,-4.5,105.19,17.6,0.479
2018-19,November,2018,11/01/2018,11/30/2018,SAS,San Antonio Spurs,15,5,10,0.333,107.1,112.9,-5.8,98.73,17.1,0.495
2018-19,November,2018,11/01/2018,11/30/2018,TOR,Toronto Raptors,15,12,3,0.8,114.8,106.8,8.0,100.87,18.1,0.516
2018-19,November,2018,11/01/2018,11/30/2018,UTA,Utah Jazz,16,7,9,0.438,102.6,108.5,-5.9,99.5,17.4,0.496
2018-19,November,2018,11/01/2018,11/30/2018,WAS,Washington Wizards,15,7,8,0.467,108.4,112.5,-4.0,102.92,17.6,0.471
2018-19,December,2018,12/01/2018,12/31/2018,ATL,Atlanta Hawks,13,6,7,0.462,108.5,112.6,-4.1,103.48,18.6,0.528
2018-19,December,2018,12/01/2018,12/31/2018,BOS,Boston Celtics,14,9,5,0.643,115.5,107.7,7.7,99.98,18.7,0.498
2018-19,December,2018,12/01/2018,12/31/2018,BKN,Brooklyn Nets,15,9,6,0.6,110.1,110.4,-0.3,99.17,17.8,0.515
2018-19,December,2018,12/01/2018,12/31/2018,CHA,Charlotte Hornets,14,7,7,0.5,110.4,110.3,0.1,99.46,17.2,0.494
2018-19,December,2018,12/01/2018,12/31/2018,CHI,Chicago Bulls,14,5,9,0.357,98.7,107.1,-8.4,96.93,15.7,0.473
2018-19,December,2018,12/01/2018,12/31/2018,CLE,Cleveland Cavaliers,16,4,12,0.25,105.3,116.9,-11.5,95.66,15.7,0.492
