Parlay Legs,Total Odds,Parlay EV,Variance
"[('Tyrese Maxey', 'points'), ('Tyrese Maxey', 'pts_rebs_asts'), ('Jalen Brunson', 'points')]",6.86,14260.4427,73.02
"[('Tyrese Maxey', 'points'), ('Tyrese Maxey', 'pts_rebs_asts'), ('T.J. McConnell', 'pts_rebs_asts')]",6.86,14022.7936,57.2533
"[('Tyrese Maxey', 'points'), ('Tyrese Maxey', 'pts_rebs_asts'), ('Tre Jones', 'pts_rebs_asts')]",6.86,10242.0123,56.0867
"[('Tyrese Maxey', 'points'), ('Tyrese Maxey', 'pts_rebs_asts'), ('LeBron James', 'pts_rebs_asts')]",6.86,9248.2069,71.3633
"[('Tyrese Maxey', 'points'), ('Tyrese Maxey', 'pts_rebs_asts'), ('T.J. McConnell', 'points')]",6.86,8945.7444,53.55
"[('Tyrese Maxey', 'points'), ('Tyrese Maxey', 'pts_rebs_asts'), ('Austin Reaves', 'pts_rebs_asts')]",6.86,8578.4685,77.39
"[('Tyrese Maxey', 'points'), ('Tyrese Maxey', 'pts_rebs_asts'), ('Luke Kennard', 'pts_rebs_asts')]",6.86,8535.2596,60.65
"[('Tyrese Maxey', 'points'), ('Tyrese Maxey', 'pts_rebs_asts'), ('Mikal Bridges', 'points')]",6.86,8384.0283,60.6733
"[('Tyrese Maxey', 'points'), ('Tyrese Maxey', 'pts_rebs_asts'), ('Brandon Clarke', 'pts_rebs_asts')]",6.86,8124.7748,55.5867
"[('Tyrese Maxey', 'points'), ('Tyrese Maxey', 'pts_rebs_asts'), ('Jaylen Wells', 'pts_rebs_asts')]",6.86,8124.7748,47.54
