Player,Opponent,Stat Type,Prop Line,Predicted Value,Variance
Zach LaVine,NOP,points,22.5,24.08,36.47
Zach LaVine,NOP,pts_rebs_asts,31.5,32.32,45.2
DeMar DeRozan,NOP,points,20.5,15.89,49.59
DeMar DeRozan,NOP,pts_rebs_asts,28.5,23.46,57.13
DeMar DeRozan,NOP,assists,3.5,3.53,4.36
Keegan Murray,NOP,points,12.5,13.39,27.48
Keegan Murray,NOP,pts_rebs_asts,20.5,20.13,31.68
Keegan Murray,NOP,rebounds,6.5,5.77,3.49
Keon Ellis,NOP,points,9.5,9.75,14.34
Keon Ellis,NOP,pts_rebs_asts,14.5,14.22,17.08
Keon Ellis,NOP,assists,1.5,1.58,1.47
Keon Ellis,NOP,rebounds,3.5,2.89,1.27
Domantas Sabonis,NOP,points,18.5,14.37,21.23
Domantas Sabonis,NOP,pts_rebs_asts,39.5,32.41,32.2
Jonas Valanciunas,NOP,points,6.5,,
Jonas Valanciunas,NOP,pts_rebs_asts,14.5,0.0,0.0
Jonas Valanciunas,NOP,assists,1.5,,
Malik Monk,NOP,points,19.5,18.84,34.91
Malik Monk,NOP,pts_rebs_asts,29.5,28.44,45.34
Trey Lyles,NOP,points,3.5,5.17,8.49
Trey Lyles,NOP,pts_rebs_asts,5.5,8.64,16.32
Trey Lyles,NOP,assists,0.5,1.01,0.82
Trey Lyles,NOP,rebounds,1.5,2.46,7.01
Jake LaRavia,NOP,points,2.5,4.58,8.91
Jake LaRavia,NOP,pts_rebs_asts,6.5,10.07,17.0
Jake LaRavia,NOP,rebounds,2.5,4.0,5.17
Jake LaRavia,NOP,assists,1.5,1.49,2.92
Jimmy Butler,HOU,points,19.5,14.51,54.77
Jimmy Butler,HOU,rebounds,5.5,3.53,3.54
Jimmy Butler,HOU,assists,5.5,4.35,4.58
Buddy Hield,HOU,points,12.5,13.39,29.58
Buddy Hield,HOU,pts_rebs_asts,17.5,19.23,34.56
Buddy Hield,HOU,rebounds,3.5,3.44,2.34
Buddy Hield,HOU,assists,1.5,2.4,2.64
Stephen Curry,HOU,points,25.5,26.17,67.66
Stephen Curry,HOU,pts_rebs_asts,35.5,36.06,76.77
Stephen Curry,HOU,assists,5.5,5.79,3.92
Stephen Curry,HOU,rebounds,3.5,4.1,5.19
Draymond Green,HOU,points,7.5,8.24,16.07
Draymond Green,HOU,pts_rebs_asts,18.5,19.84,26.1
Draymond Green,HOU,assists,4.5,6.09,4.7
Anthony Edwards,OKC,points,29.5,27.34,44.9
Anthony Edwards,OKC,pts_rebs_asts,41.5,38.04,56.89
Anthony Edwards,OKC,assists,5.5,5.05,6.89
Rudy Gobert,OKC,points,11.5,13.54,16.17
Rudy Gobert,OKC,pts_rebs_asts,24.5,27.02,26.87
Rudy Gobert,OKC,assists,1.5,1.78,2.25
Jaden McDaniels,OKC,points,13.5,16.66,64.92
Jaden McDaniels,OKC,pts_rebs_asts,21.5,27.21,70.75
Jaden McDaniels,OKC,rebounds,6.5,7.69,4.32
Mike Conley,OKC,points,10.5,8.74,25.21
Mike Conley,OKC,pts_rebs_asts,18.5,17.64,32.45
Mike Conley,OKC,rebounds,2.5,3.0,2.28
Mike Conley,OKC,assists,5.5,5.9,4.96
Naz Reid,OKC,points,18.5,17.57,41.1
Naz Reid,OKC,pts_rebs_asts,28.5,28.88,53.56
Naz Reid,OKC,rebounds,7.5,8.24,9.52
Naz Reid,OKC,assists,2.5,3.07,2.94
Kyrie Irving,MIA,points,27.5,21.64,65.67
Kyrie Irving,MIA,pts_rebs_asts,38.5,30.06,73.73
Kyrie Irving,MIA,assists,4.5,4.64,2.39
Kyrie Irving,MIA,rebounds,5.5,3.78,5.67
Klay Thompson,MIA,points,16.5,13.65,49.12
Klay Thompson,MIA,pts_rebs_asts,23.5,19.76,52.31
Klay Thompson,MIA,assists,2.5,2.37,2.0
Naji Marshall,MIA,points,13.5,17.52,25.68
Naji Marshall,MIA,pts_rebs_asts,21.5,24.15,34.96
Naji Marshall,MIA,assists,2.5,2.67,4.57
Naji Marshall,MIA,rebounds,5.5,3.96,4.71
Olivier-Maxence Prosper,MIA,points,9.5,5.92,34.42
Olivier-Maxence Prosper,MIA,pts_rebs_asts,19.5,11.18,38.86
Olivier-Maxence Prosper,MIA,assists,2.5,1.46,1.39
Max Christie,MIA,points,14.5,15.84,38.28
Max Christie,MIA,pts_rebs_asts,23.5,22.91,44.85
Max Christie,MIA,rebounds,5.5,4.35,5.68
Lauri Markkanen,LAC,points,19.5,18.57,24.92
Lauri Markkanen,LAC,pts_rebs_asts,25.5,25.72,33.84
Lauri Markkanen,LAC,assists,0.5,0.94,0.56
Lauri Markkanen,LAC,rebounds,5.5,6.21,8.36
John Collins,LAC,points,17.5,19.26,6.85
John Collins,LAC,pts_rebs_asts,26.5,28.56,16.72
John Collins,LAC,assists,1.5,1.31,1.62
Keyonte George,LAC,points,17.5,17.81,28.56
Keyonte George,LAC,pts_rebs_asts,26.5,27.95,37.93
Keyonte George,LAC,rebounds,3.5,3.95,3.39
Walker Kessler,LAC,points,11.5,10.4,24.42
Walker Kessler,LAC,pts_rebs_asts,23.5,22.36,33.34
Walker Kessler,LAC,rebounds,11.5,10.76,7.76
Walker Kessler,LAC,assists,1.5,1.2,1.16
Isaiah Collier,LAC,points,10.5,12.57,27.43
Isaiah Collier,LAC,pts_rebs_asts,23.5,25.11,35.75
Isaiah Collier,LAC,rebounds,3.5,3.76,3.8
