Player,Current Team,Opponent Team,Stat Type,Prop Line,Predicted Value,Variance,Date Range,Weighted Mean,ARIMA Forecast,Weighted Combination
Stephen Curry,GSW,HOU,pts_rebs_asts,35.5,45.37,141.8,2024-12-19 to 2025-02-08,39.34235458849398,45.36819221686393,42.36
Anthony Edwards,MIN,OKC,pts_rebs_asts,41.5,42.85,66.04,2024-12-13 to 2025-02-03,38.035051534761024,42.850105663552135,40.44
Naz Reid,MIN,OKC,pts_rebs_asts,28.5,39.86,135.18,2024-12-29 to 2025-02-08,33.63777198789712,39.860597957189555,36.75
Kyrie Irving,DAL,MIA,pts_rebs_asts,38.5,35.78,93.35,2024-11-27 to 2025-02-08,34.980286160379514,35.780478414881685,35.38
Domantas Sabonis,SAC,NOP,pts_rebs_asts,39.5,34.95,36.32,2024-11-13 to 2025-02-06,35.41013200924521,34.949211027345655,35.18
Anthony Edwards,MIN,OKC,points,29.5,32.19,47.19,2024-12-13 to 2025-02-03,26.04904574694791,32.18940032773122,29.12
Stephen Curry,GSW,HOU,points,25.5,32.05,114.46,2024-12-19 to 2025-02-08,29.697467628718766,32.04800109208319,30.87
DeMar DeRozan,SAC,NOP,pts_rebs_asts,28.5,31.64,86.56,2024-12-22 to 2025-02-08,28.749268997177957,31.63931828982834,30.19
Lauri Markkanen,UTA,LAC,pts_rebs_asts,25.5,29.27,44.64,2024-12-03 to 2025-02-07,27.142399089701303,29.27259054922313,28.21
Zach LaVine,SAC,NOP,pts_rebs_asts,31.5,28.75,94.65,2024-12-19 to 2025-02-08,31.635249531994663,28.7476185056915,30.19
John Collins,UTA,LAC,pts_rebs_asts,26.5,28.54,23.99,2024-11-16 to 2025-02-07,26.89086491540585,28.536750030829804,27.71
Keyonte George,UTA,LAC,pts_rebs_asts,26.5,28.1,41.65,2024-12-03 to 2025-02-08,28.349851168742592,28.104457643982396,28.23
Kyrie Irving,DAL,MIA,points,27.5,27.57,60.91,2024-11-27 to 2025-02-08,23.520646527050744,27.574610559211074,25.55
Isaiah Collier,UTA,LAC,pts_rebs_asts,23.5,27.19,82.77,2024-12-26 to 2025-02-08,26.044998671329264,27.190946625050604,26.62
Rudy Gobert,MIN,OKC,pts_rebs_asts,24.5,26.2,81.85,2024-12-25 to 2025-02-08,27.857062858316493,26.20273901831638,27.03
Keegan Murray,SAC,NOP,pts_rebs_asts,20.5,26.07,36.65,2024-12-21 to 2025-02-08,20.94743772880927,26.069665541567637,23.51
Lauri Markkanen,UTA,LAC,points,19.5,25.06,40.72,2024-12-03 to 2025-02-07,20.960039250242147,25.064918578590998,23.01
DeMar DeRozan,SAC,NOP,points,20.5,24.86,54.97,2024-12-22 to 2025-02-08,19.74870696131346,24.86490910708693,22.31
Walker Kessler,UTA,LAC,pts_rebs_asts,23.5,24.18,36.67,2024-11-26 to 2025-02-03,24.025203056861674,24.175165577772884,24.1
Naz Reid,MIN,OKC,points,18.5,23.58,43.37,2024-12-29 to 2025-02-08,19.850410638078557,23.583810664569793,21.72
Max Christie,DAL,MIA,pts_rebs_asts,23.5,22.93,75.4,2024-12-23 to 2025-02-08,24.663931496343366,22.93021923015325,23.8
Keon Ellis,SAC,NOP,pts_rebs_asts,14.5,22.8,58.44,2024-12-26 to 2025-02-08,18.818877295995375,22.796586339864692,20.81
Olivier-Maxence Prosper,DAL,MIA,pts_rebs_asts,19.5,20.58,59.76,2024-12-15 to 2025-02-06,14.953190467033641,20.583402841591784,17.77
Zach LaVine,SAC,NOP,points,22.5,20.11,71.24,2024-12-19 to 2025-02-08,22.550125522447942,20.111252936240003,21.33
John Collins,UTA,LAC,points,17.5,19.6,8.22,2024-11-16 to 2025-02-07,17.87086832171407,19.6024752330326,18.74
Draymond Green,GSW,HOU,pts_rebs_asts,18.5,19.3,45.95,2024-11-23 to 2025-02-08,19.692215653484972,19.301839082236853,19.5
Mike Conley,MIN,OKC,pts_rebs_asts,18.5,18.27,68.76,2024-12-21 to 2025-02-06,20.35326064329164,18.273205011457343,19.31
Klay Thompson,DAL,MIA,pts_rebs_asts,23.5,17.87,54.03,2024-12-21 to 2025-02-08,22.10854860884515,17.872836024491605,19.99
Keyonte George,UTA,LAC,points,17.5,17.11,37.65,2024-12-03 to 2025-02-08,16.375174712374413,17.114718424927005,16.74
Max Christie,DAL,MIA,points,14.5,16.61,45.02,2024-12-23 to 2025-02-08,16.70087188720748,16.60742866276053,16.65
Klay Thompson,DAL,MIA,points,16.5,16.39,45.12,2024-12-21 to 2025-02-08,16.393130876910487,16.393130876910487,16.39
Isaiah Collier,UTA,LAC,points,10.5,15.15,39.18,2024-12-26 to 2025-02-08,12.423062330378551,15.147831126444828,13.79
Rudy Gobert,MIN,OKC,points,11.5,15.12,31.29,2024-12-25 to 2025-02-08,14.821865772208879,15.124515322365541,14.97
Domantas Sabonis,SAC,NOP,points,18.5,15.08,33.12,2024-11-13 to 2025-02-06,16.05143033405762,15.075855746144825,15.56
Jimmy Butler,GSW,HOU,points,19.5,13.95,82.99,2024-10-23 to 2025-02-08,14.610679908289498,13.951946016116018,14.28
Walker Kessler,UTA,LAC,points,11.5,13.21,24.28,2024-11-26 to 2025-02-03,11.57870965631586,13.209021573307703,12.39
Olivier-Maxence Prosper,DAL,MIA,points,9.5,12.99,40.68,2024-12-15 to 2025-02-06,9.588373262509656,12.986268634193605,11.29
Walker Kessler,UTA,LAC,rebounds,11.5,12.91,8.08,2024-11-26 to 2025-02-03,11.169275140508484,12.910561633862635,12.04
