SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022301182,2024-04-12T00:00:00,GSW vs. NOP,L,32.39333333333333,12,23,0.522,7,13,0.538,2,2,1.0,0,4,4,5,7,1,0,0,2,1,33,-8,41.3,0,0,51.0,1,44,44,44,38,9,16,19,9,23,15,50,50,1,29,30,36,35,1,11,24,1,41,67,14,61,36,8,1,17,1,32:24
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022301169,2024-04-11T00:00:00,GSW @ POR,W,36.36666666666667,8,22,0.364,5,16,0.313,1,1,1.0,0,7,7,8,2,1,2,1,0,1,22,7,49.4,0,0,48.0,1,1,1,1,8,38,20,55,30,7,54,58,60,1,29,4,8,6,40,11,2,40,1,67,53,27,14,8,1,27,1,36:22
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022301155,2024-04-09T00:00:00,GSW @ LAL,W,32.31666666666667,7,9,0.778,6,6,1.0,3,4,0.75,0,7,7,8,1,1,2,1,2,3,23,13,51.4,0,0,50.0,1,1,1,1,40,49,72,1,18,71,1,40,33,60,29,4,8,6,61,11,2,40,41,33,50,12,10,8,1,21,1,32:19
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022301097,2024-04-05T00:00:00,GSW @ DAL,L,35.425,9,23,0.391,5,14,0.357,5,6,0.833,1,5,6,5,2,1,0,1,2,7,28,-5,43.7,0,0,46.0,1,44,44,44,12,27,16,47,30,17,47,22,18,54,7,18,14,35,40,11,24,40,41,4,33,55,31,8,1,34,1,35:26
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022301113,2024-04-04T00:00:00,GSW @ HOU,W,30.663333333333334,9,14,0.643,2,6,0.333,9,9,1.0,0,6,6,6,3,0,0,0,2,4,29,29,42.2,0,0,43.0,1,1,1,1,60,27,64,6,65,71,48,4,5,1,29,11,14,20,25,40,24,1,41,26,29,2,33,8,1,38,1,30:40
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022300589,2024-04-02T00:00:00,GSW vs. DAL,W,31.58,5,18,0.278,3,5,0.6,0,0,0.0,0,7,7,7,4,1,2,2,1,2,13,-4,36.9,0,0,36.0,1,1,1,1,49,63,42,69,54,73,9,69,69,69,29,4,8,14,9,11,2,64,15,51,69,51,46,8,1,55,1,31:35
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022301085,2024-03-31T00:00:00,GSW @ SAS,W,32.53333333333333,12,23,0.522,7,15,0.467,2,2,1.0,0,1,1,8,4,0,0,1,1,3,33,12,42.2,0,0,49.0,1,1,1,1,37,9,16,19,9,12,21,50,50,1,29,63,68,6,9,40,24,40,15,33,14,17,33,8,1,22,1,32:32
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022301062,2024-03-29T00:00:00,GSW @ CHA,W,32.13333333333333,9,18,0.5,4,11,0.364,1,1,1.0,0,1,1,4,0,1,0,1,1,0,23,13,33.2,0,0,34.0,1,1,1,1,43,27,42,21,40,39,45,58,60,1,29,63,68,45,74,11,24,40,15,74,50,12,58,8,1,56,1,32:08
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022301049,2024-03-27T00:00:00,GSW @ ORL,W,35.016666666666666,6,18,0.333,3,8,0.375,2,2,1.0,0,4,4,10,2,0,0,1,2,3,17,18,34.8,1,0,34.0,1,1,1,1,17,56,42,59,54,61,43,50,50,1,29,30,36,2,40,40,24,40,41,33,60,7,54,1,1,56,1,35:01
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022301044,2024-03-26T00:00:00,GSW @ MIA,W,31.011666666666667,7,15,0.467,3,10,0.3,0,0,0.0,1,1,2,6,1,0,0,0,1,2,17,19,27.4,0,0,28.0,1,1,1,1,55,49,58,33,54,46,56,69,69,69,7,63,57,20,61,40,24,1,15,51,60,6,62,8,1,63,1,31:01
