Player,Opponent,Stat Type,Prop Line,Predicted Value,Variance
Tyrese Haliburton,IND,points,17.5,17.5,67.73
Tyrese Haliburton,IND,pts_rebs_asts,29.5,29.43,78.49
Tyrese Haliburton,IND,assists,7.5,8.55,7.78
Karl-Anthony Towns,IND,points,38.5,23.67,55.12
Josh Hart,IND,points,28.5,14.05,33.56
Deuce McBride,IND,points,14.5,,
Pascal Siakam,IND,points,28.5,22.48,34.62
Pascal Siakam,IND,pts_rebs_asts,36.5,33.39,43.91
Pascal Siakam,IND,rebounds,6.5,7.51,6.28
Mikal Bridges,IND,points,8.5,16.22,42.9
Bennedict Mathurin,IND,points,20.5,15.85,42.13
Bennedict Mathurin,IND,pts_rebs_asts,29.5,22.51,51.17
Precious Achiuwa,IND,rebounds,12.5,6.44,21.57
Kevin Durant,PHX,points,26.5,26.05,32.06
Kevin Durant,PHX,pts_rebs_asts,36.5,36.01,41.2
Kevin Durant,PHX,rebounds,5.5,5.64,5.29
Devin Booker,PHX,points,28.5,28.4,91.76
Devin Booker,PHX,pts_rebs_asts,39.5,39.24,105.01
Devin Booker,PHX,assists,6.5,6.2,9.05
Zach Edey,PHX,points,6.5,5.47,9.24
Zach Edey,PHX,pts_rebs_asts,15.5,10.4,21.57
Zach Edey,PHX,rebounds,7.5,4.01,11.84
Zach Edey,PHX,assists,0.5,0.92,0.49
Jaren Jackson Jr.,PHX,points,22.5,24.32,98.63
Jaren Jackson Jr.,PHX,pts_rebs_asts,30.5,33.31,107.9
Jaren Jackson Jr.,PHX,assists,2.5,2.57,3.04
GG Jackson,PHX,points,9.5,7.34,24.2
GG Jackson,PHX,pts_rebs_asts,13.5,10.07,27.47
GG Jackson,PHX,assists,0.5,0.46,0.27
Luke Kennard,PHX,points,6.5,9.16,39.21
Luke Kennard,PHX,pts_rebs_asts,11.5,15.7,46.94
Luke Kennard,PHX,rebounds,2.5,3.32,4.26
Santi Aldama,PHX,points,9.5,10.41,42.93
Santi Aldama,PHX,pts_rebs_asts,17.5,17.51,48.0
Santi Aldama,PHX,assists,1.5,1.63,0.8
Nick Richards,PHX,points,8.5,7.45,24.58
Nick Richards,PHX,pts_rebs_asts,17.5,17.51,41.7
Nick Richards,PHX,assists,0.5,0.49,0.47
Nick Richards,PHX,rebounds,7.5,9.57,16.65
Bol Bol,PHX,points,8.5,6.77,36.34
Bol Bol,PHX,pts_rebs_asts,14.5,10.33,42.02
Bol Bol,PHX,rebounds,5.5,2.98,5.45
Ja Morant,PHX,points,21.5,22.12,49.91
Ja Morant,PHX,points,22.5,22.12,49.91
Ja Morant,PHX,pts_rebs_asts,32.5,33.65,60.39
Ja Morant,PHX,assists,7.5,7.13,6.52
Desmond Bane,PHX,points,19.5,21.27,51.88
Desmond Bane,PHX,pts_rebs_asts,30.0,32.76,65.75
Desmond Bane,PHX,rebounds,5.5,5.95,6.54
Grayson Allen,PHX,points,11.5,12.35,36.42
Grayson Allen,PHX,pts_rebs_asts,17.5,19.24,45.14
Grayson Allen,PHX,rebounds,3.5,4.04,3.98
Grayson Allen,PHX,assists,2.5,2.85,4.74
Tyus Jones,PHX,points,11.5,10.89,31.93
Tyus Jones,PHX,pts_rebs_asts,20.5,18.97,43.49
Tyus Jones,PHX,assists,6.5,5.7,7.72
Royce O'Neale,PHX,points,8.5,9.39,25.79
Royce O'Neale,PHX,pts_rebs_asts,14.5,15.74,31.52
Royce O'Neale,PHX,rebounds,3.5,4.08,3.15
Mason Plumlee,PHX,points,3.5,3.35,8.98
Mason Plumlee,PHX,pts_rebs_asts,11.5,11.7,18.14
Mason Plumlee,PHX,assists,1.5,2.06,1.8
Mason Plumlee,PHX,rebounds,5.5,6.29,7.36
Brandon Clarke,PHX,points,7.5,9.57,27.06
Brandon Clarke,PHX,pts_rebs_asts,12.5,16.51,31.75
Brandon Clarke,PHX,rebounds,4.5,5.78,3.71
Jaylen Wells,PHX,points,6.5,8.31,6.29
Jaylen Wells,PHX,pts_rebs_asts,10.5,14.51,7.61
Jaylen Wells,PHX,rebounds,2.5,4.44,0.48
Anthony Edwards,MIN,points,30.5,29.82,89.63
Anthony Edwards,MIN,pts_rebs_asts,42.5,40.79,100.51
Anthony Edwards,MIN,rebounds,5.5,5.96,5.38
Kyle Kuzma,MIN,points,17.5,17.91,56.33
Kyle Kuzma,MIN,pts_rebs_asts,28.5,28.08,70.51
Kyle Kuzma,MIN,rebounds,7.5,6.83,8.4
Brook Lopez,MIN,points,12.5,13.31,9.09
Brook Lopez,MIN,pts_rebs_asts,18.5,19.23,14.44
Brook Lopez,MIN,rebounds,4.5,4.74,4.38
Mike Conley,MIN,points,8.5,10.01,28.42
Mike Conley,MIN,pts_rebs_asts,18.5,18.53,35.85
Mike Conley,MIN,rebounds,2.5,2.93,2.5
Mike Conley,MIN,assists,5.5,5.59,4.93
Taurean Prince,MIN,points,7.5,9.16,22.16
Taurean Prince,MIN,pts_rebs_asts,13.5,13.87,27.43
Taurean Prince,MIN,assists,2.5,1.8,2.42
Damian Lillard,MIN,points,26.5,28.21,69.86
Damian Lillard,MIN,pts_rebs_asts,39.5,41.41,82.31
Damian Lillard,MIN,assists,7.5,7.71,5.05
Rudy Gobert,MIN,points,11.5,12.8,21.09
Rudy Gobert,MIN,pts_rebs_asts,24.5,25.71,36.07
Rudy Gobert,MIN,rebounds,11.5,11.29,12.82
Jaden McDaniels,MIN,points,14.5,13.62,50.03
Jaden McDaniels,MIN,pts_rebs_asts,24.5,22.11,57.23
Jaden McDaniels,MIN,rebounds,7.5,6.34,5.62
Jaden McDaniels,MIN,assists,1.5,2.15,1.58
Naz Reid,MIN,points,17.5,15.72,42.91
Naz Reid,MIN,pts_rebs_asts,28.5,24.02,53.25
Naz Reid,MIN,assists,2.5,2.25,2.01
Andre Jackson Jr.,MIN,points,3.5,1.94,5.24
Andre Jackson Jr.,MIN,pts_rebs_asts,8.5,6.07,6.48
Andre Jackson Jr.,MIN,rebounds,3.5,2.01,0.88
Shai Gilgeous-Alexander,OKC,points,32.5,33.16,74.54
Shai Gilgeous-Alexander,OKC,pts_rebs_asts,42.5,43.63,85.96
Shai Gilgeous-Alexander,OKC,rebounds,4.5,4.39,6.73
Shai Gilgeous-Alexander,OKC,assists,5.5,6.08,4.69
Jalen Williams,OKC,points,21.5,21.14,38.35
Jalen Williams,OKC,pts_rebs_asts,30.5,30.88,45.78
Jalen Williams,OKC,assists,4.5,4.88,3.99
Tyler Herro,OKC,points,21.5,23.61,46.87
Tyler Herro,OKC,pts_rebs_asts,32.5,35.92,58.24
Tyler Herro,OKC,assists,6.5,5.82,2.54
Alex Caruso,OKC,points,7.5,7.91,21.72
Alex Caruso,OKC,pts_rebs_asts,13.5,13.43,26.86
Alex Caruso,OKC,assists,2.5,2.62,2.19
Nikola Jovic,OKC,points,10.5,,
Nikola Jovic,OKC,pts_rebs_asts,19.5,0.0,0.0
Nikola Jovic,OKC,rebounds,4.5,,
Nikola Jovic,OKC,assists,3.5,,
Aaron Wiggins,OKC,points,12.5,13.35,64.67
Aaron Wiggins,OKC,pts_rebs_asts,17.5,19.39,77.48
Aaron Wiggins,OKC,rebounds,3.5,4.32,11.26
Aaron Wiggins,OKC,assists,1.5,1.72,1.55
Kel'el Ware,OKC,points,10.5,4.99,19.15
Kel'el Ware,OKC,pts_rebs_asts,21.5,12.52,23.59
Kel'el Ware,OKC,assists,1.5,1.4,0.87
Isaiah Hartenstein,OKC,points,9.5,10.56,15.66
Isaiah Hartenstein,OKC,pts_rebs_asts,24.5,26.01,35.61
Isaiah Hartenstein,OKC,rebounds,11.5,11.33,17.14
Isaiah Hartenstein,OKC,assists,3.5,4.12,2.81
Bam Adebayo,OKC,points,17.5,17.34,36.08
Bam Adebayo,OKC,pts_rebs_asts,31.5,31.29,45.96
Bam Adebayo,OKC,rebounds,10.5,10.23,5.27
Andrew Wiggins,OKC,points,15.5,19.75,34.2
Andrew Wiggins,OKC,pts_rebs_asts,22.5,27.13,41.91
Andrew Wiggins,OKC,assists,2.5,2.64,2.32
Terry Rozier,OKC,points,11.5,14.82,51.39
Terry Rozier,OKC,pts_rebs_asts,18.5,22.52,56.45
Terry Rozier,OKC,rebounds,3.5,4.31,1.88
Terry Rozier,OKC,assists,2.5,3.39,3.18
Lu Dort,OKC,points,8.5,,
Lu Dort,OKC,pts_rebs_asts,13.5,0.0,0.0
Lu Dort,OKC,rebounds,3.5,,
Lu Dort,OKC,assists,1.5,,
Jaylin Williams,OKC,points,4.5,5.69,11.26
Jaylin Williams,OKC,pts_rebs_asts,13.5,14.82,23.53
Jaylin Williams,OKC,rebounds,5.5,6.63,8.62
Jaylin Williams,OKC,assists,2.5,2.5,3.65
Isaiah Joe,OKC,points,9.5,10.02,36.91
