Player,Stat Type,Prop Line,EV,Probability_Hit,Bet Direction
victor wembanyama,2H Points,12.0,1.7335871275036285,0.9111957091678762,Over
victor wembanyama,2H Pts + Rebs + Asts,20.0,1.3611437439373049,0.7870479146457683,Under
victor wembanyama,2H Rebounds,6.5,1.6092182018443675,0.8697394006147892,Over
chris paul,2H Points,4.5,1.6545542618908013,0.8848514206302671,Over
chris paul,2H Pts + Rebs + Asts,9.5,0.7085505983289268,0.5695168661096423,Under
chris paul,2H Assists,3.5,1.7733597639309582,0.9244532546436527,Over
chris paul,Points,7.5,1.3390394424148298,0.7668981778409278,Over
devin vassell,2H Points,8.0,1.5351653668567118,0.8450551222855706,Over
devin vassell,2H Pts + Rebs + Asts,11.5,1.0713169435178798,0.6904389811726266,Under
derrick white,2H Pts + Rebs + Asts,14.0,1.423431369444722,0.807810456481574,Under
derrick white,2H Points,9.5,1.261521478284094,0.7538404927613647,Over
derrick white,2H Rebounds,2.5,1.2411952120179146,0.7470650706726382,Over
derrick white,2H Assists,2.5,1.3355947141170805,0.7785315713723602,Over
keldon johnson,Points,5.5,1.718935103899411,0.9063117012998037,Over
keldon johnson,Pts + Rebs + Asts,9.5,0.8023747210367687,0.6007915736789229,Under
keldon johnson,Rebounds,2.5,1.397241191832501,0.8266348937353452,Over
keldon johnson,Rebounds + Assists,3.5,1.1684085766092984,0.7228028588697661,Over
al horford,2H Points,5.0,1.399623564508829,0.799874521502943,Over
al horford,2H Pts + Rebs + Asts,9.5,1.09238155793785,0.6974605193126167,Under
al horford,2H Rebounds,3.5,1.5700961889331997,0.8566987296443999,Over
al horford,Points,7.5,0.8952670521464872,0.6490640589542764,Over
payton pritchard,2H Points,8.0,0.8322654390820972,0.610755146360699,Over
payton pritchard,2H Pts + Rebs + Asts,12.5,1.3994374351398682,0.7998124783799561,Under
payton pritchard,Points,14.5,1.1248898795264086,0.7082966265088029,Under
payton pritchard,2H Assists,2.5,0.6736349819710681,0.5578783273236894,Over
luke kornet,Points,5.5,0.6385637187337567,0.5461879062445856,Under
luke kornet,Pts + Rebs + Asts,13.5,1.8305309809697041,0.9627656397856137,Under
luke kornet,Assists,1.5,0.8970396119744387,0.6003289911311515,Under
luke kornet,Rebounds,5.5,1.0521440078813358,0.7027890437949781,Under
paolo banchero,Points,25.5,1.0680096925182168,0.6893365641727389,Under
paolo banchero,Pts + Rebs + Asts,38.5,1.9979921705478882,0.9993307235159627,Under
paolo banchero,1Q Points,6.5,1.9266922608011878,0.9755640869337293,Over
paolo banchero,Assists,4.5,0.7285578281776179,0.5575992994121348,Over
miles bridges,Points,22.5,1.1736760664926824,0.7245586888308941,Under
miles bridges,Pts + Rebs + Asts,34.5,1.9942490071025651,0.9980830023675217,Under
miles bridges,Rebounds,7.5,0.7751043919401646,0.5917014639800549,Under
miles bridges,1Q Points,5.5,1.8162291937278414,0.9387430645759471,Over
jusuf nurkic,Points,9.5,0.9165255576444002,0.6388418525481334,Over
jusuf nurkic,Pts + Rebs + Asts,16.5,1.5195346377997994,0.8398448792665998,Under
jusuf nurkic,1Q Points,4.5,1.848952811463088,0.8685831742265512,Over
jusuf nurkic,Assists,1.5,1.4293295136530895,0.768775162548446,Over
kentavious caldwell-pope,Points,8.5,0.8476284695010913,0.6158761565003638,Over
kentavious caldwell-pope,Pts + Rebs + Asts,14.5,1.7612277676072918,0.9391931182337727,Under
kentavious caldwell-pope,Assists,1.5,1.0053102323643315,0.632589978663827,Over
kentavious caldwell-pope,1Q Points,2.5,2.05508950303112,0.9092528282830714,Over
seth curry,Points,6.5,0.846465152300256,0.6154883841000853,Over
seth curry,Pts + Rebs + Asts,8.5,1.190181741164579,0.7204545201199273,Under
seth curry,Rebounds,1.5,0.8071981164880638,0.5905876197673411,Over
anthony black,Points,8.5,0.723618317144086,0.5862647337224782,Under
anthony black,Pts + Rebs + Asts,14.5,1.8575580671745258,0.9525193557248419,Under
anthony black,Assists,3.5,0.9366155416526742,0.6867430998768349,Under
anthony black,Rebounds,2.5,0.689392545285287,0.5380231035940405,Under
tidjane salaun,Points,8.5,1.3859067706851218,0.7953022568950406,Under
tidjane salaun,Pts + Rebs + Asts,15.5,1.9686916205155094,0.9895638735051698,Under
tidjane salaun,Rebounds,5.5,0.9662228346296702,0.6780078740102311,Under
tidjane salaun,Assists,1.5,0.7782024576701978,0.6305682474007794,Under
nick smith jr.,Points,12.5,1.4045374410587497,0.8015124803529166,Under
nick smith jr.,Pts + Rebs + Asts,21.5,1.9871580241223419,0.995719341374114,Under
nick smith jr.,Assists,5.5,1.9853756874300301,0.9951252291433433,Under
nick smith jr.,1Q Points,0.5,1.6617177456575118,0.8423157422966809,Over
daquan jeffries,Points,5.5,0.9041825343476458,0.6521173062834403,Under
daquan jeffries,Pts + Rebs + Asts,10.5,1.847922933363774,0.9493076444545913,Under
daquan jeffries,Assists,1.5,1.1460550225625123,0.7153516741875041,Under
daquan jeffries,Rebounds,3.5,1.1861141844531675,0.7435762532153631,Under
franz wagner,Points,26.5,1.3778343049780515,0.7926114349926838,Under
franz wagner,Pts + Rebs + Asts,35.5,1.9969806162135746,0.9989935387378582,Under
franz wagner,Assists,3.5,0.6957789373352385,0.578764142435235,Over
franz wagner,Rebounds,5.5,0.7672146398047927,0.5890715466015976,Under
wendell carter jr.,Points,7.5,1.2598920483977682,0.7532973494659227,Over
wendell carter jr.,Pts + Rebs + Asts,15.5,1.674170443045953,0.8913901476819843,Under
wendell carter jr.,Assists,1.5,0.9958334107700333,0.6652778035900111,Over
wendell carter jr.,Rebounds,6.5,1.0027038806812993,0.6675679602270997,Over
josh green,Points,7.5,0.5589845812198019,0.5196615270732673,Under
