Player,Stat Type,Prop Line,Best Bet,Best EV
Brandon Clarke,Assists,0.5,Under,0.15998935222625724
Devin Booker,Assists,5.5,Under,0.12998962759971608
Tyus Jones,Assists,5.5,Under,0.11998971939086925
Zach Edey,Assists,0.5,Under,0.11998971939086925
Scottie Barnes,Assists,5.5,Under,0.1099898111820222
Desmond Bane,1Q Points,4.5,Under,0.07999008655548102
Immanuel Quickley,Assists,5.5,Under,0.06999017834663397
Ja Morant,Assists,6.5,Under,0.05999027013778692
Joel Embiid,Assists,4.5,Under,-9.179115295410156e-06
Gradey Dick,Points,13.5,Under,-9.179115295410156e-06
Nick Richards,Rebounds,8.5,Under,-9.179115295410156e-06
Kevin Durant,Points,26.5,Under,-9.179115295410156e-06
GG Jackson,Points,9.5,Under,-9.179115295410156e-06
Santi Aldama,1Q Points,2.5,Under,-9.179115295410156e-06
Luke Kennard,Pts + Rebs + Asts,11.5,Under,-9.179115295410156e-06
Jaylen Wells,Points,6.5,Under,-9.179115295410156e-06
Jaren Jackson Jr.,Points,21.5,Under,-9.179115295410156e-06
