Player,Stat Type,Prop Team,Home vs. Away,Expected Value,Prop Line,Probability Over,Probability Under,Max Probability
GG Jackson,points,IND,1,15.063119276472163,8.5,0.9493148698349252,0.050685130165074754,0.9493148698349252
Miles Bridges,points,DEN,1,19.710696697742055,25.5,0.05482608080953577,0.9451739191904642,0.9451739191904642
Scotty Pippen Jr.,assists,IND,1,4.0721001911210974,1.5,0.9304555476872264,0.06954445231277365,0.9304555476872264
Scotty Pippen Jr.,points,IND,1,9.254153186213276,4.5,0.9216171133553634,0.07838288664463652,0.9216171133553634
Nick Smith Jr.,points,DEN,1,7.653782337317868,12.5,0.09453758612881802,0.905462413871182,0.905462413871182
De'Andre Hunter,points,BKN,1,19.514111572312185,14.5,0.8933163933381778,0.10668360666182214,0.8933163933381778
Luke Kennard,points,IND,1,9.513724985817781,5.5,0.8882937356854729,0.11170626431452713,0.8882937356854729
Matas Buzelis,points,NYK,1,7.560125896544615,12.5,0.11423962625008044,0.8857603737499196,0.8857603737499196
Derrick Jones Jr.,points,MIL,1,10.503885340091085,7.5,0.8812998728943575,0.11870012710564243,0.8812998728943575
Precious Achiuwa,rebounds,CHI,0,6.373722293524354,9.5,0.12252740405383644,0.8774725959461636,0.8774725959461636
Scotty Pippen Jr.,rebounds,IND,1,3.337138991046726,1.5,0.8732592556064194,0.12674074439358057,0.8732592556064194
Amir Coffey,points,MIL,1,11.432902946146235,8.5,0.8622441312182121,0.13775586878178792,0.8622441312182121
Guerschon Yabusele,points,BOS,0,11.55542098617646,7.5,0.8564362372762141,0.1435637627237859,0.8564362372762141
Franz Wagner,points,ATL,1,22.402657090171978,27.5,0.1505084733739388,0.8494915266260612,0.8494915266260612
Julian Champagnie,points,PHX,0,9.563779296011042,5.5,0.8145337496299189,0.18546625037008113,0.8145337496299189
Mikal Bridges,assists,CHI,0,3.1704659871644294,4.5,0.18547969657099317,0.8145203034290068,0.8145203034290068
Bradley Beal,points,SAS,1,18.002808616738808,14.5,0.8137509270471923,0.18624907295280774,0.8137509270471923
Matas Buzelis,rebounds,NYK,1,3.0887069640781517,4.5,0.2027182083590664,0.7972817916409336,0.7972817916409336
Payton Pritchard,points,PHI,1,13.575448954921015,10.5,0.7880455721767385,0.2119544278232614,0.7880455721767385
Jayson Tatum,rebounds,PHI,1,9.611494984836307,7.5,0.7880104410739348,0.21198955892606525,0.7880104410739348
Trae Young,assists,ORL,0,12.060968918239091,9.5,0.7854401921990444,0.21455980780095557,0.7854401921990444
Caris LeVert,assists,ORL,0,3.894934175680902,2.5,0.777305349653439,0.22269465034656094,0.777305349653439
Max Strus,assists,BKN,1,3.881816912987606,2.5,0.7725402880488923,0.22745971195110765,0.7725402880488923
Damian Lillard,rebounds,LAC,0,4.6570053661114,3.5,0.7647109291533014,0.23528907084669853,0.7647109291533014
Amir Coffey,rebounds,MIL,1,2.5283238273638236,1.5,0.7637359069289831,0.23626409307101692,0.7637359069289831
Sam Hauser,points,PHI,1,7.748074717284285,5.5,0.7623505788009134,0.2376494211990866,0.7623505788009134
Tre Jones,assists,NYK,1,4.311585491434463,2.5,0.7606053224225384,0.23939467757746163,0.7606053224225384
Jrue Holiday,points,PHI,1,10.017094014800511,7.5,0.7600778500077718,0.23992214999222816,0.7600778500077718
Aaron Nesmith,points,MEM,0,10.017351232106126,7.5,0.7576076743509295,0.24239232564907048,0.7576076743509295
Joel Embiid,assists,BOS,0,4.854162964871521,3.5,0.7509974636865121,0.2490025363134879,0.7509974636865121
Jarrett Allen,points,BKN,1,13.407554995951022,11.5,0.7503369755692485,0.2496630244307515,0.7503369755692485
Santi Aldama,assists,IND,1,2.692505251969695,1.5,0.7487043493786127,0.25129565062138726,0.7487043493786127
Thomas Bryant,rebounds,MEM,0,5.440285266687272,3.5,0.7390880454618692,0.26091195453813076,0.7390880454618692
Jrue Holiday,rebounds,PHI,1,4.610346675988569,3.5,0.7388215049243466,0.2611784950756534,0.7388215049243466
Darius Garland,points,BKN,1,21.606538433795844,19.5,0.7339967672961123,0.2660032327038877,0.7339967672961123
Joel Embiid,points,BOS,0,30.376639606040467,26.5,0.7287757191463266,0.27122428085367345,0.7287757191463266
Zach Edey,points,IND,1,9.548877542764115,7.5,0.7223977741649509,0.2776022258350491,0.7223977741649509
Jaylen Wells,points,IND,1,10.65699809783977,8.5,0.7200489749338332,0.2799510250661668,0.7200489749338332
Goga Bitadze,points,ATL,1,7.985041005901801,5.5,0.7180795209322288,0.2819204790677711,0.7180795209322288
Miles Bridges,rebounds,DEN,1,7.670267384705321,6.5,0.7167662140624496,0.2832337859375505,0.7167662140624496
Onyeka Okongwu,rebounds,ORL,0,8.729415679369241,10.5,0.28511893770281693,0.7148810622971831,0.7148810622971831
Tre Jones,points,NYK,1,7.961417700530492,5.5,0.7132660479134694,0.28673395208653063,0.7132660479134694
Al Horford,rebounds,PHI,1,5.936615878380619,4.5,0.71235390613285,0.28764609386715,0.71235390613285
OG Anunoby,points,CHI,0,16.41395637298962,14.5,0.7121906429832711,0.28780935701672894,0.7121906429832711
Coby White,points,NYK,1,16.94282100742765,19.5,0.289001628573594,0.710998371426406,0.710998371426406
Derrick Jones Jr.,rebounds,MIL,1,3.550103951989756,2.5,0.7109596676825816,0.28904033231741844,0.7109596676825816
Kevin Huerter,points,NYK,1,5.2340735740306785,7.5,0.2919441361313809,0.7080558638686191,0.7080558638686191
Zaccharie Risacher,assists,ORL,0,1.2060458546750226,0.5,0.7076893244519521,0.2923106755480479,0.7076893244519521
Evan Mobley,assists,BKN,1,3.587672214217968,2.5,0.7066277249879922,0.2933722750120078,0.7066277249879922
Trendon Watford,assists,CLE,0,1.6349841055626853,2.5,0.29482517737126357,0.7051748226287364,0.7051748226287364
Aaron Gordon,points,CHA,0,12.366238709166558,10.5,0.7047019060777733,0.29529809392222667,0.7047019060777733
