Player,Stat Type,Prop Team,Home vs. Away,Expected Value,Prop Line,Probability Over,Probability Under,Max Probability
Guerschon Yabusele,points,BKN,0,10.83742302316778,6.5,0.9400685874340918,0.05993141256590819,0.9400685874340918
Jose Alvarado,assists,SAS,0,2.999819578452674,5.5,0.06546841158748207,0.9345315884125179,0.9345315884125179
Cole Anthony,rebounds,WAS,0,2.4015776546587673,4.5,0.06669992311857154,0.9333000768814285,0.9333000768814285
Brandin Podziemski,assists,DAL,0,2.7791905248358213,4.5,0.07430481353525242,0.9256951864647476,0.9256951864647476
Tim Hardaway Jr.,assists,ATL,1,0.960401952191431,1.5,0.07601247212845386,0.9239875278715461,0.9239875278715461
Trendon Watford,assists,PHI,1,1.3067364495936298,2.5,0.08852251121588295,0.911477488784117,0.911477488784117
Trey Murphy III,assists,SAS,0,3.001070657800693,5.5,0.09465973695963859,0.9053402630403614,0.9053402630403614
Josh Green,assists,POR,1,1.0719792253010358,1.5,0.0990315440564129,0.9009684559435871,0.9009684559435871
Nick Smith Jr.,assists,POR,1,1.1926922757334928,2.5,0.10172538115610241,0.8982746188438976,0.8982746188438976
Wendell Carter Jr.,assists,WAS,0,1.6119654375556125,2.5,0.10288584997758798,0.897114150022412,0.897114150022412
Walker Kessler,assists,HOU,0,1.0020552481549347,1.5,0.10307691981715894,0.8969230801828411,0.8969230801828411
Isaiah Collier,assists,HOU,0,4.915320413515695,8.5,0.10395818601832163,0.8960418139816784,0.8960418139816784
Jaxson Hayes,points,DEN,1,5.470167268171314,8.5,0.10758797612783311,0.8924120238721669,0.8924120238721669
Max Christie,assists,GSW,1,1.4072728849923983,2.5,0.10812466739595117,0.8918753326040488,0.8918753326040488
Brandin Podziemski,points,DAL,0,9.003859023688197,13.5,0.11284623215233147,0.8871537678476685,0.8871537678476685
Moses Moody,points,DAL,0,7.810418487510286,12.5,0.11449460914595633,0.8855053908540437,0.8855053908540437
Donovan Clingan,rebounds,CHA,0,6.42057282230807,10.5,0.11706475772839764,0.8829352422716024,0.8829352422716024
Franz Wagner,rebounds,WAS,0,4.664822031688709,6.5,0.11767705062316935,0.8823229493768306,0.8823229493768306
Nick Smith Jr.,points,POR,1,6.634499767547131,12.5,0.11817349894480744,0.8818265010551926,0.8818265010551926
Amen Thompson,assists,UTA,1,3.017290682534634,5.5,0.12016038850423649,0.8798396114957635,0.8798396114957635
Jalen Green,assists,UTA,1,2.479848232352716,3.5,0.12222431910367981,0.8777756808963202,0.8777756808963202
Alex Sarr,assists,ORL,1,1.8090078787300492,2.5,0.12525309555485276,0.8747469044451472,0.8747469044451472
Dillon Brooks,assists,UTA,1,1.1420567764412353,1.5,0.1328232058408647,0.8671767941591353,0.8671767941591353
Trae Young,rebounds,DET,0,1.8872975511393153,2.5,0.13696004736770517,0.8630399526322948,0.8630399526322948
Bilal Coulibaly,assists,ORL,1,3.001711456350054,4.5,0.13781545382875604,0.862184546171244,0.862184546171244
Amen Thompson,points,UTA,1,12.441362609006225,16.5,0.1424427831997508,0.8575572168002492,0.8575572168002492
Paul George,points,BKN,0,16.894573134346732,13.5,0.8573303722441519,0.14266962775584818,0.8573303722441519
Day'Ron Sharpe,assists,PHI,1,0.867511330723731,1.5,0.14343267763862788,0.8565673223613721,0.8565673223613721
Jimmy Butler,rebounds,DAL,0,4.785900766900592,6.5,0.15150991017256776,0.8484900898274322,0.8484900898274322
Wendell Carter Jr.,points,WAS,0,8.668348238608493,11.5,0.15327192359435415,0.8467280764056458,0.8467280764056458
Kentavious Caldwell-Pope,rebounds,WAS,0,1.9082224383690713,2.5,0.15935835645346308,0.8406416435465369,0.8406416435465369
Cole Anthony,assists,WAS,0,2.4955371192030364,3.5,0.16328034780147738,0.8367196521985226,0.8367196521985226
Donovan Clingan,points,CHA,0,5.648819041244562,9.5,0.16474127029178076,0.8352587297082192,0.8352587297082192
Anthony Black,rebounds,WAS,0,1.9577633074678549,2.5,0.1670952528492481,0.8329047471507519,0.8329047471507519
Isaiah Collier,points,HOU,0,4.741789166576661,11.5,0.16839621952440476,0.8316037804755952,0.8316037804755952
Ausar Thompson,points,ATL,1,9.344071463199352,12.5,0.1707468120997866,0.8292531879002134,0.8292531879002134
Jalen Duren,points,ATL,1,10.619752825154894,13.5,0.17212435263951953,0.8278756473604805,0.8278756473604805
Tim Hardaway Jr.,points,ATL,1,11.949190686167647,9.5,0.8266200451693064,0.17337995483069352,0.8266200451693064
Seth Curry,rebounds,POR,1,1.1257609288619574,1.5,0.17357946965672422,0.8264205303432758,0.8264205303432758
Jimmy Butler,assists,DAL,0,4.456647097073793,5.5,0.17669894657443364,0.8233010534255664,0.8233010534255664
Anfernee Simons,assists,CHA,0,4.119344557772141,5.5,0.17708423059529121,0.8229157694047088,0.8229157694047088
Jalen Green,points,UTA,1,18.758786873101446,23.5,0.1800834442454785,0.8199165557545215,0.8199165557545215
Alperen Sengun,assists,UTA,1,4.338863127702753,5.5,0.1811320982620418,0.8188679017379582,0.8188679017379582
Paolo Banchero,points,WAS,0,21.42130975390372,25.5,0.18320560916076167,0.8167943908392383,0.8167943908392383
Scoot Henderson,assists,CHA,0,3.75570911870439,5.5,0.18430402197771223,0.8156959780222878,0.8156959780222878
Bilal Coulibaly,rebounds,ORL,1,4.330162585971933,5.5,0.18431014956378455,0.8156898504362154,0.8156898504362154
Jayson Tatum,assists,NYK,0,5.17166446156516,6.5,0.184829413529784,0.815170586470216,0.815170586470216
Mark Williams,assists,POR,1,1.8092045664814145,2.5,0.18625787221128542,0.8137421277887146,0.8137421277887146
Onyeka Okongwu,assists,DET,0,1.625070822290539,2.5,0.1869092382590518,0.8130907617409482,0.8130907617409482
Bismack Biyombo,points,NOP,1,4.8780705088382215,3.5,0.8113023874206533,0.18869761257934664,0.8113023874206533
Tim Hardaway Jr.,rebounds,ATL,1,2.00470995501034,2.5,0.18973788088283794,0.8102621191171621,0.8102621191171621
Spencer Dinwiddie,points,GSW,1,10.251527582094916,8.5,0.8098057474761715,0.19019425252382852,0.8098057474761715
Toumani Camara,rebounds,CHA,0,4.948049808484446,6.5,0.19316776322329132,0.8068322367767087,0.8068322367767087
Precious Achiuwa,rebounds,BOS,1,5.671227817683406,7.5,0.1954181731873441,0.8045818268126559,0.8045818268126559
Deni Avdija,assists,CHA,0,2.885129933170502,3.5,0.1954299402260764,0.8045700597739236,0.8045700597739236
Mikal Bridges,assists,BOS,1,2.96491402887071,3.5,0.19625163299884196,0.803748367001158,0.803748367001158
Julian Strawther,rebounds,LAL,0,1.9366338810681303,2.5,0.1978933447028317,0.8021066552971683,0.8021066552971683
Yves Missi,rebounds,SAS,0,6.904860921786991,8.5,0.19816282058342527,0.8018371794165747,0.8018371794165747
Draymond Green,rebounds,DAL,0,5.207661494466537,6.5,0.1986482612646956,0.8013517387353044,0.8013517387353044
Christian Braun,assists,LAL,0,1.5468452780430793,2.5,0.20343614566931334,0.7965638543306867,0.7965638543306867
Joel Embiid,points,BKN,0,30.5112661857483,26.5,0.7956504988205859,0.20434950117941406,0.7956504988205859
Sam Hauser,assists,NYK,0,0.15275253901857494,0.5,0.7944899493081002,0.2055100506918998,0.7944899493081002
Jordan Poole,rebounds,ORL,1,2.864376833327474,3.5,0.21084578615654392,0.7891542138434561,0.7891542138434561
Paolo Banchero,assists,WAS,0,4.695807874555211,5.5,0.21257430521389664,0.7874256947861034,0.7874256947861034
Jarred Vanderbilt,points,DEN,1,4.1078797273135805,3.5,0.7813899838797391,0.2186100161202609,0.7813899838797391
Bismack Biyombo,assists,NOP,1,0.34415776384167707,0.5,0.7800477409184089,0.21995225908159108,0.7800477409184089
Harrison Barnes,rebounds,NOP,1,3.395929332511556,4.5,0.2200687462774814,0.7799312537225186,0.7799312537225186
Bismack Biyombo,rebounds,NOP,1,5.148004112738637,3.5,0.7777873906903405,0.22221260930965944,0.7777873906903405
Draymond Green,assists,DAL,0,5.560368917664385,6.5,0.22304908043152671,0.7769509195684733,0.7769509195684733
Cole Anthony,points,WAS,0,9.338120696039779,13.5,0.2236538250354685,0.7763461749645315,0.7763461749645315
Day'Ron Sharpe,points,PHI,1,6.6940336874367965,8.5,0.22427450223088063,0.7757254977691194,0.7757254977691194
Keyonte George,points,HOU,0,15.98872421437907,18.5,0.2256685756733967,0.7743314243266033,0.7743314243266033
Kyshawn George,rebounds,ORL,1,3.6707775522975123,4.5,0.2328217987768728,0.7671782012231272,0.7671782012231272
Payton Pritchard,assists,NYK,0,2.9886392818740393,3.5,0.23340923063604302,0.766590769363957,0.766590769363957
Jose Alvarado,points,SAS,0,7.576220847060168,10.5,0.23459422630547122,0.7654057736945288,0.7654057736945288
Spencer Dinwiddie,rebounds,GSW,1,2.093845914193474,2.5,0.23558018441213147,0.7644198155878685,0.7644198155878685
Toumani Camara,points,CHA,0,9.437699330987982,11.5,0.23705471542482737,0.7629452845751726,0.7629452845751726
Quentin Grimes,assists,BKN,0,1.6486142171962812,2.5,0.237855499825117,0.762144500174883,0.762144500174883
Spencer Dinwiddie,assists,GSW,1,3.495764233097355,4.5,0.24003501390609017,0.7599649860939098,0.7599649860939098
Tyrese Maxey,points,BKN,0,26.864823246503065,23.5,0.7594873925934913,0.24051260740650865,0.7594873925934913
Onyeka Okongwu,points,DET,0,11.202037978234408,13.5,0.2447460833448316,0.7552539166551684,0.7552539166551684
Buddy Hield,points,DAL,0,6.170037389972304,10.5,0.24549884980842074,0.7545011501915793,0.7545011501915793
Keon Johnson,points,PHI,1,8.810021004849348,12.5,0.2460562534026257,0.7539437465973743,0.7539437465973743
Al Horford,assists,NYK,0,0.682595302872024,1.5,0.24724278800643995,0.75275721199356,0.75275721199356
CJ McCollum,rebounds,SAS,0,2.915107311315362,3.5,0.2473538069731135,0.7526461930268865,0.7526461930268865
Max Christie,points,GSW,1,9.158279140913328,12.5,0.24902420780402257,0.7509757921959774,0.7509757921959774
Klay Thompson,rebounds,GSW,1,3.2079614492554,3.5,0.24984505414007452,0.7501549458599255,0.7501549458599255
Nic Claxton,assists,PHI,1,1.587731815584134,1.5,0.2502711692498075,0.7497288307501925,0.7497288307501925
Jrue Holiday,assists,NYK,0,2.5291476235775945,3.5,0.25030128445148025,0.7496987155485197,0.7496987155485197
Cade Cunningham,points,ATL,1,24.745068169644952,27.5,0.2518892313982277,0.7481107686017723,0.7481107686017723
Josh Green,rebounds,POR,1,2.1550297238652787,2.5,0.2523396270652787,0.7476603729347213,0.7476603729347213
Tyrese Martin,points,PHI,1,7.428533305140562,6.5,0.7474419881078295,0.25255801189217053,0.7474419881078295
Paolo Banchero,rebounds,WAS,0,6.591442540771167,7.5,0.253903068045239,0.746096931954761,0.746096931954761
Jalen Brunson,rebounds,BOS,1,2.4556292406267066,2.5,0.2552004302415789,0.7447995697584211,0.7447995697584211
Day'Ron Sharpe,rebounds,PHI,1,5.552036031248824,6.5,0.2595198425149824,0.7404801574850176,0.7404801574850176
Stephen Curry,points,DAL,0,23.58121741955705,26.5,0.26117221848198047,0.7388277815180195,0.7388277815180195
Payton Pritchard,points,NYK,0,12.066464354981408,10.5,0.7367413314736933,0.26325866852630675,0.7367413314736933
Dyson Daniels,rebounds,DET,0,4.93916308664977,5.5,0.2638652787190965,0.7361347212809035,0.7361347212809035
Dyson Daniels,points,DET,0,13.393369170289452,15.5,0.264469851593903,0.735530148406097,0.735530148406097
Seth Curry,points,POR,1,6.564321384274363,5.5,0.7352266682946438,0.2647733317053562,0.7352266682946438
