TEAM_ABBREVIATION,OFF_RATING,DEF_RATING,NET_RATING,PACE,AST_RATIO,REB_PCT
ATL,111.1,113.5,-2.4,104.1,19.6,0.503
BOS,119.0,109.6,9.4,97.72,18.7,0.502
BKN,108.5,114.4,-6.0,96.23,18.2,0.489
CHA,107.8,113.3,-5.5,98.1,17.2,0.504
CHI,111.4,116.1,-4.7,103.56,19.7,0.49
CLE,121.9,111.0,10.9,100.6,20.3,0.503
DAL,115.3,113.2,2.1,99.85,18.1,0.498
DEN,119.4,113.9,5.4,100.94,21.2,0.521
DET,113.3,112.4,0.9,99.75,18.4,0.518
GSW,112.5,111.8,0.7,99.62,19.9,0.507
HOU,113.7,109.3,4.4,98.85,16.0,0.528
IND,114.6,114.2,0.3,100.7,20.3,0.483
LAC,111.5,108.5,3.0,99.02,18.0,0.512
LAL,114.3,113.1,1.2,98.72,19.4,0.491
MEM,117.4,111.0,6.4,104.44,19.2,0.524
MIA,111.4,112.1,-0.8,97.29,19.0,0.493
MIL,113.5,112.1,1.4,100.31,18.4,0.491
MIN,113.5,110.3,3.2,97.9,18.3,0.504
NOP,109.7,118.5,-8.7,100.11,17.9,0.478
NYK,119.2,114.1,5.1,98.3,19.6,0.511
OKC,117.5,104.5,13.0,100.43,18.7,0.492
ORL,107.3,108.6,-1.3,96.76,17.0,0.504
PHI,111.1,115.2,-4.1,97.3,17.1,0.47
PHX,113.8,115.6,-1.8,98.79,19.8,0.489
POR,110.0,115.4,-5.4,99.14,16.9,0.493
SAC,115.2,114.6,0.6,100.04,18.8,0.509
SAS,112.5,114.2,-1.7,100.02,20.2,0.492
TOR,109.9,115.8,-5.9,99.89,19.8,0.497
UTA,111.2,118.5,-7.3,100.13,18.0,0.516
WAS,105.6,118.4,-12.8,102.34,17.7,0.484
