Player 1,Stat 1,Player 2,Stat 2,Correlation
Keon Ellis,ast,Trey Lyles,pts,0.8385441344006365
Keegan Murray,reb,Keon Ellis,reb,0.7938566201357354
Anthony Edwards,pts,Naz Reid,ast,0.782540904746999
Naz Reid,reb,Rudy Gobert,ast,-0.7483035308230906
Keegan Murray,pts,Trey Lyles,ast,0.7122236846737814
Isaiah Collier,pts,Walker Kessler,reb,0.7113752413547535
Klay Thompson,pts,Naji Marshall,reb,-0.7066726053588113
John Collins,pts,Walker Kessler,pts,0.6983398301476561
Anthony Edwards,ast,Jaden Mcdaniels,reb,-0.6893947331354585
Demar Derozan,ast,Trey Lyles,ast,0.6553195461871442
John Collins,pts,Keyonte George,reb,0.6544887913020861
Anthony Edwards,ast,Rudy Gobert,ast,0.6250570750195246
Anthony Edwards,ast,Mike Conley,pts,0.5997361435404435
John Collins,ast,Lauri Markkanen,ast,0.5926434421977953
Naz Reid,reb,Rudy Gobert,pts,-0.5909327870954322
Kyrie Irving,ast,Naji Marshall,ast,-0.5897678246195885
Buddy Hield,ast,Stephen Curry,pts,0.5749633138512166
Demar Derozan,pts,Trey Lyles,ast,0.5732838196609155
Klay Thompson,pts,Kyrie Irving,ast,0.5650539290415342
Anthony Edwards,pts,Jaden Mcdaniels,pts,-0.5560385866217614
Domantas Sabonis,pts,Trey Lyles,pts,0.5538991904318386
John Collins,pts,Lauri Markkanen,ast,0.5535544484477658
Keegan Murray,pts,Keon Ellis,reb,0.5534867567995443
Lauri Markkanen,reb,Walker Kessler,ast,0.5522099797036703
Jaden Mcdaniels,reb,Naz Reid,ast,-0.5333428150676618
Anthony Edwards,pts,Naz Reid,reb,0.5307422266842362
John Collins,pts,Walker Kessler,reb,0.5217128542987669
Jaden Mcdaniels,pts,Naz Reid,ast,-0.5209118980950759
Anthony Edwards,ast,Mike Conley,reb,-0.5000867377923084
Mike Conley,reb,Naz Reid,reb,0.5000146185701816
Demar Derozan,ast,Domantas Sabonis,pts,-0.4868253203742076
Isaiah Collier,reb,Walker Kessler,reb,0.48112371087397715
Keyonte George,pts,Lauri Markkanen,pts,0.4771664214701506
Buddy Hield,reb,Stephen Curry,ast,-0.4771066440980152
Klay Thompson,pts,Kyrie Irving,pts,-0.47679679671103925
Domantas Sabonis,pts,Keon Ellis,reb,0.4727964337086479
Buddy Hield,ast,Stephen Curry,reb,0.4691625312488646
John Collins,ast,Walker Kessler,pts,0.4609483508786955
Kyrie Irving,pts,Olivier-Maxence Prosper,pts,-0.45507648616415614
Buddy Hield,ast,Stephen Curry,ast,-0.45484657290255853
Isaiah Collier,pts,Lauri Markkanen,ast,-0.45466289298031565
Mike Conley,ast,Naz Reid,reb,0.44790983486598174
Lauri Markkanen,pts,Walker Kessler,pts,0.4474229031658111
Isaiah Collier,pts,Keyonte George,pts,0.4434617734779417
Lauri Markkanen,ast,Walker Kessler,pts,0.43581148550009097
Keon Ellis,ast,Trey Lyles,reb,0.4310779387772141
Demar Derozan,ast,Keegan Murray,pts,0.43021688644773515
Anthony Edwards,ast,Mike Conley,ast,-0.42657315707568305
Jaden Mcdaniels,reb,Mike Conley,reb,0.4216529631680419
Isaiah Collier,reb,Walker Kessler,ast,0.4215686274509804
Mike Conley,ast,Naz Reid,pts,0.4207316964700114
Naji Marshall,ast,Olivier-Maxence Prosper,pts,-0.41967512932111256
Domantas Sabonis,pts,Trey Lyles,ast,-0.41947565543071164
Naz Reid,pts,Rudy Gobert,pts,0.4188516123071138
Naji Marshall,reb,Olivier-Maxence Prosper,pts,0.41522739926869984
Jaden Mcdaniels,pts,Mike Conley,pts,0.41506105336219884
Klay Thompson,ast,Olivier-Maxence Prosper,ast,0.4149712502329819
John Collins,ast,Lauri Markkanen,reb,-0.41465311199228644
Lauri Markkanen,reb,Walker Kessler,reb,0.4058930906256164
Isaiah Collier,pts,John Collins,ast,-0.40502757382234467
Kyrie Irving,ast,Olivier-Maxence Prosper,ast,0.40347887104601304
Keyonte George,pts,Lauri Markkanen,ast,-0.4007203987914872
Isaiah Collier,pts,Lauri Markkanen,reb,0.39774753049086237
Anthony Edwards,ast,Naz Reid,reb,-0.3856235002453124
Demar Derozan,ast,Trey Lyles,pts,-0.3812087380716833
Jaden Mcdaniels,pts,Naz Reid,pts,0.3774972814775286
Anthony Edwards,pts,Rudy Gobert,pts,-0.37680444022281895
Keyonte George,reb,Lauri Markkanen,ast,0.3737887261075059
Demar Derozan,pts,Trey Lyles,reb,0.3721937985661679
Mike Conley,pts,Naz Reid,pts,-0.3709544512843243
Domantas Sabonis,pts,Malik Monk,pts,-0.36299857140580755
Demar Derozan,ast,Malik Monk,pts,0.3609546098885819
Kyrie Irving,pts,Naji Marshall,ast,0.3582641875539423
Buddy Hield,pts,Stephen Curry,pts,0.3552850969566445
Jaden Mcdaniels,reb,Naz Reid,pts,-0.3550998390406962
Keegan Murray,reb,Trey Lyles,reb,0.3522870429295712
John Collins,ast,Walker Kessler,reb,-0.3487908612967425
Isaiah Collier,pts,John Collins,pts,0.34795139726082913
Anthony Edwards,ast,Naz Reid,ast,0.3449314037971889
Isaiah Collier,pts,Walker Kessler,ast,0.34075510516801627
Keegan Murray,reb,Trey Lyles,ast,0.3375159398880234
Jaden Mcdaniels,pts,Mike Conley,ast,0.33380083220549267
Jaden Mcdaniels,reb,Mike Conley,pts,0.33135924464035055
Kyrie Irving,reb,Naji Marshall,ast,0.32850860985068836
John Collins,pts,Lauri Markkanen,pts,-0.32607219418332056
Demar Derozan,ast,Keon Ellis,pts,0.32491370625614185
Domantas Sabonis,pts,Keegan Murray,reb,0.32409808961886777
Kyrie Irving,reb,Olivier-Maxence Prosper,ast,-0.31736323741169464
Keegan Murray,pts,Trey Lyles,pts,-0.3152975842122391
Keegan Murray,pts,Trey Lyles,reb,0.3118939075101668
Isaiah Collier,reb,Keyonte George,pts,0.31160466447440505
