Player,Current Team,Opponent Team,Home Team,Away Team,Stat Type,Prop Line,Higher Payout,Lower Payout
Zion Williamson,Unknown,Unknown,Unknown,Unknown,points,23.5,1,1
Zion Williamson,Unknown,Unknown,Unknown,Unknown,pts_rebs_asts,35.5,1,1
Zion Williamson,Unknown,Unknown,Unknown,Unknown,period_1_points,5.5,1,1
Zion Williamson,Unknown,Unknown,Unknown,Unknown,rebounds,6.5,1,1
Zach LaVine,Unknown,Unknown,Unknown,Unknown,points,22.5,1,1
Zach LaVine,Unknown,Unknown,Unknown,Unknown,pts_rebs_asts,30.5,1,1
Zach LaVine,Unknown,Unknown,Unknown,Unknown,rebounds,3.5,1,1
Zach LaVine,Unknown,Unknown,Unknown,Unknown,period_1_points,3.5,1,1
Keegan Murray,Unknown,Unknown,Unknown,Unknown,points,11.5,1,1
Keegan Murray,Unknown,Unknown,Unknown,Unknown,pts_rebs_asts,19.5,1,1
Keegan Murray,Unknown,Unknown,Unknown,Unknown,rebounds,6.5,1,1
Keegan Murray,Unknown,Unknown,Unknown,Unknown,period_1_points,2.5,1,1
Yves Missi,Unknown,Unknown,Unknown,Unknown,points,8.5,1,1
Yves Missi,Unknown,Unknown,Unknown,Unknown,pts_rebs_asts,18.5,1,1
Yves Missi,Unknown,Unknown,Unknown,Unknown,period_1_points,1.5,1,1
Yves Missi,Unknown,Unknown,Unknown,Unknown,rebounds,8.5,1,1
Malik Monk,Unknown,Unknown,Unknown,Unknown,points,19.5,1,1
Malik Monk,Unknown,Unknown,Unknown,Unknown,pts_rebs_asts,30.5,1,1
Malik Monk,Unknown,Unknown,Unknown,Unknown,assists,6.5,1,1
Malik Monk,Unknown,Unknown,Unknown,Unknown,rebounds,3.5,1,1
Domantas Sabonis,Unknown,Unknown,Unknown,Unknown,points,17.5,1,1
Domantas Sabonis,Unknown,Unknown,Unknown,Unknown,pts_rebs_asts,37.5,1,1
Domantas Sabonis,Unknown,Unknown,Unknown,Unknown,rebounds,14.5,1,1
Domantas Sabonis,Unknown,Unknown,Unknown,Unknown,period_1_points,4.5,1,1
DeMar DeRozan,Unknown,Unknown,Unknown,Unknown,points,20.5,1,1
