Player,Stat Type,Prop Line,Higher Payout,Lower Payout
Victor Wembanyama,2H Points,12.0,1,1
Victor Wembanyama,2H Pts + Rebs + Asts,20.0,1,1
Victor Wembanyama,2H Rebounds,6.5,1,1
Chris Paul,2H Points,4.5,1,1
Chris Paul,2H Pts + Rebs + Asts,9.5,1,1
Chris Paul,2H Assists,3.5,1,1
Chris Paul,Points,"7.5
0",1.05x,0.93x
Devin Vassell,2H Points,8.0,1,1
Devin Vassell,2H Pts + Rebs + Asts,11.5,1,1
Derrick White,2H Pts + Rebs + Asts,14.0,1,1
Derrick White,2H Points,9.5,1,1
Derrick White,2H Rebounds,2.5,1,1
Derrick White,2H Assists,2.5,1,1
Keldon Johnson,Points,"5.5
Projection refreshing...",1,1
Keldon Johnson,Pts + Rebs + Asts,"9.5
Projection refreshing...",1,1
Keldon Johnson,Rebounds,"2.5
Projection refreshing...",0.9x,1.1x
Keldon Johnson,Rebounds + Assists,"3.5
Projection refreshing...",1,1
Al Horford,2H Points,5.0,1,1
Al Horford,2H Pts + Rebs + Asts,9.5,1,1
Al Horford,2H Rebounds,3.5,1,1
Al Horford,Points,"7.5
0",0.92x,1.06x
Payton Pritchard,2H Points,8.0,1,1
Payton Pritchard,2H Pts + Rebs + Asts,12.5,1,1
Payton Pritchard,Points,"14.5
0",1,1
Payton Pritchard,2H Assists,2.5,1,1
Luke Kornet,Points,"5.5
0",1,1
Luke Kornet,Pts + Rebs + Asts,"13.5
0",1.04x,0.94x
Luke Kornet,Assists,"1.5
0",0.83x,1.16x
Luke Kornet,Rebounds,"5.5
0",1.06x,0.92x
Paolo Banchero,Points,"25.5
5",1,1
Paolo Banchero,Pts + Rebs + Asts,"38.5
7",1,1
Paolo Banchero,1Q Points,"6.5
Projection refreshing...",1,1
Paolo Banchero,Assists,"4.5
0",1.1x,0.9x
Miles Bridges,Points,"22.5
3",1,1
Miles Bridges,Pts + Rebs + Asts,"34.5
5",1,1
Miles Bridges,Rebounds,"7.5
1",1,1
Miles Bridges,1Q Points,"5.5
3",1,1
Jusuf Nurkic,Points,"9.5
4",1,1
Jusuf Nurkic,Pts + Rebs + Asts,"16.5
Projection refreshing...",1,1
Jusuf Nurkic,1Q Points,"4.5
Projection refreshing...",1.28x,0.78x
Jusuf Nurkic,Assists,"1.5
0",1.16x,0.85x
Kentavious Caldwell-Pope,Points,"8.5
2",1,1
Kentavious Caldwell-Pope,Pts + Rebs + Asts,"14.5
4",1.04x,0.94x
Kentavious Caldwell-Pope,Assists,"1.5
0",1.17x,0.83x
Kentavious Caldwell-Pope,1Q Points,"2.5
2",1.36x,0.76x
Seth Curry,Points,"6.5
0",1,1
Seth Curry,Pts + Rebs + Asts,"8.5
0",0.94x,1.04x
Seth Curry,Rebounds,"1.5
0",1.06x,0.92x
Seth Curry,3-Pointers Made,"0.5
0",0.75x,1.39x
Anthony Black,Points,"8.5
0",1.04x,0.94x
Anthony Black,Pts + Rebs + Asts,"14.5
0",1,1
Anthony Black,Assists,"3.5
0",1.19x,0.82x
Anthony Black,Rebounds,"2.5
0",0.86x,1.14x
Tidjane Salaun,Points,"8.5
0",1,1
Tidjane Salaun,Pts + Rebs + Asts,"15.5
0",1,1
Tidjane Salaun,Rebounds,"5.5
0",1.1x,0.9x
Tidjane Salaun,Assists,"1.5
0",1.18x,0.82x
Nick Smith Jr.,Points,"12.5
0",1,1
Nick Smith Jr.,Pts + Rebs + Asts,"21.5
3",1,1
Nick Smith Jr.,Assists,"5.5
3",1,1
Nick Smith Jr.,1Q Points,"0.5
0",1.16x,0.83x
DaQuan Jeffries,Points,"5.5
0",1.07x,0.92x
DaQuan Jeffries,Pts + Rebs + Asts,"10.5
0",1,1
DaQuan Jeffries,Assists,"1.5
0",1,1
DaQuan Jeffries,Rebounds,"3.5
0",1.04x,0.94x
Franz Wagner,Points,"26.5
2",1,1
Franz Wagner,Pts + Rebs + Asts,"35.5
2",1,1
Franz Wagner,Assists,"3.5
0",0.93x,1.06x
Franz Wagner,Rebounds,"5.5
0",1,1
Wendell Carter Jr.,Points,"7.5
0",1,1
Wendell Carter Jr.,Pts + Rebs + Asts,"15.5
0",1,1
Wendell Carter Jr.,Assists,"1.5
0",1,1
Wendell Carter Jr.,Rebounds,"6.5
0",1,1
Josh Green,Points,"7.5
2",1,1
Josh Green,Pts + Rebs + Asts,"11.5
2",1,1
Josh Green,1Q Points,"2.5
Projection refreshing...",1.33x,0.77x
